Therapeutic Class,Drug Name,Dosage Form,Status
ANTIPSYCHOTICS / ANTIMANIC AGENTS : DIBENZAPINES,ASENAPINE MALEATE SL,SUBL,NON_PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : DIBENZAPINES,SAPHRIS,SUBL,NON_PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : DIBENZAPINES,OLANZAPINE,SOLR,NON_PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : DIBENZAPINES,ZYPREXA,SOLR,NON_PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : DIBENZAPINES,OLANZAPINE,TABS,PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : DIBENZAPINES,ZYPREXA,TABS,NON_PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : DIBENZAPINES,OLANZAPINE ODT,TBDP,PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : DIBENZAPINES,ZYPREXA ZYDIS,TBDP,NON_PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : DIBENZAPINES,ZYPREXA RELPREVV,SUSR,NON_PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : MISC,HALOPERIDOL,TABS,PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : MISC,HALOPERIDOL,CONC,PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : MISC,MOLINDONE HYDROCHLORIDE,TABS,NON_PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : MISC,CHLORPROMAZINE HYDROCHLORIDE,CONC,PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : MISC,CHLORPROMAZINE HYDROCHLORIDE,TABS,PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : MISC,FLUPHENAZINE HCL,CONC,PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : MISC,FLUPHENAZINE HYDROCHLORIDE,ELIX,PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : MISC,FLUPHENAZINE HYDROCHLORIDE,TABS,PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : MISC,PERPHENAZINE,TABS,PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : MISC,COMPRO,SUPP,PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : MISC,PROCHLORPERAZINE,SUPP,PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : MISC,PROCHLORPERAZINE MALEATE,TABS,PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : MISC,THIORIDAZINE HYDROCHLORIDE,TABS,PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : MISC,TRIFLUOPERAZINE HCL,TABS,PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : MISC,TRIFLUOPERAZINE HYDROCHLORIDE,TABS,PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : MISC,THIOTHIXENE,CAPS,PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : MISC,EQUETRO,CP12,NON_PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : MISC,VRAYLAR,CAPS,PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : MISC,CAPLYTA,CAPS,PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : MISC,LATUDA,TABS,NON_PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : MISC,LURASIDONE HYDROCHLORIDE,TABS,PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : MISC,NUPLAZID,CAPS,NON_PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : MISC,NUPLAZID,TABS,NON_PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : MISC,GEODON,CAPS,NON_PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : MISC,ZIPRASIDONE HCL,CAPS,PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : MISC,ZIPRASIDONE HYDROCHLORIDE,CAPS,PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : MISC,GEODON,SOLR,NON_PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : MISC,ZIPRASIDONE MESYLATE,SOLR,NON_PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : MISC,LITHIUM,SOLN,PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : MISC,LITHIUM CARBONATE,CAPS,PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : MISC,LITHIUM CARBONATE,TABS,PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : MISC,LITHIUM CARBONATE ER,TBCR,PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : MISC,LITHOBID,TBCR,NON_PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : QUINOLINONE DERIVATIVES,OPIPZA,FILM,NON_PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : QUINOLINONE DERIVATIVES,ABILIFY ASIMTUFII,PRSY,PREFERRED_WITH_PA
ANTIPSYCHOTICS / ANTIMANIC AGENTS : QUINOLINONE DERIVATIVES,ABILIFY MAINTENA,PRSY,PREFERRED_WITH_PA
ANTIPSYCHOTICS / ANTIMANIC AGENTS : QUINOLINONE DERIVATIVES,ARIPIPRAZOLE,SOLN,NON_PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : QUINOLINONE DERIVATIVES,ABILIFY MAINTENA,SRER,PREFERRED_WITH_PA
ANTIPSYCHOTICS / ANTIMANIC AGENTS : QUINOLINONE DERIVATIVES,ABILIFY,TABS,NON_PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : QUINOLINONE DERIVATIVES,ARIPIPRAZOLE,TABS,PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : QUINOLINONE DERIVATIVES,ARIPIPRAZOLE ODT,TBDP,NON_PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : QUINOLINONE DERIVATIVES,ABILIFY MYCITE MAINTENANCE KIT,TBPK,NON_PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : QUINOLINONE DERIVATIVES,ABILIFY MYCITE STARTER KIT,TBPK,NON_PREFERRED
ANTIPSYCHOTICS / ANTIMANIC AGENTS : QUINOLINONE DERIVATIVES,ARISTADA,PRSY,PREFERRED_WITH_PA
ANTIPSYCHOTICS / ANTIMANIC AGENTS : QUINOLINONE DERIVATIVES,ARISTADA INITIO,PRSY,PREFERRED_WITH_PA
ANTIPSYCHOTICS / ANTIMANIC AGENTS : QUINOLINONE DERIVATIVES,REXULTI,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),SUNLENCA,SOLN,PREFERRED_WITH_PA
ANTIVIRALS : ANTIRETROVIRALS (HIV),SUNLENCA,TBPK,PREFERRED_WITH_PA
ANTIVIRALS : ANTIRETROVIRALS (HIV),SELZENTRY,SOLN,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),MARAVIROC 150MG & 300MG,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),SELZENTRY 150MG & 300MG,TABS,NON_PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),SELZENTRY 25MG & 75MG,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),TROGARZO,SOLN,PREFERRED_WITH_PA
ANTIVIRALS : ANTIRETROVIRALS (HIV),RUKOBIA,TB12,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),FUZEON,SOLR,NON_PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),APRETUDE,SUER,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),TIVICAY,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),TIVICAY PD,TBSO,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),ISENTRESS,CHEW,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),ISENTRESS,PACK,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),ISENTRESS,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),ISENTRESS HD,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),ATAZANAVIR,CAPS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),ATAZANAVIR SULFATE,CAPS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),REYATAZ,CAPS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),REYATAZ,PACK,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),PREZISTA,SUSP,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),DARUNAVIR,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),PREZISTA,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),FOSAMPRENAVIR CALCIUM,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),VIRACEPT,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),NORVIR,PACK,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),NORVIR,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),RITONAVIR,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),APTIVUS,CAPS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),ABACAVIR,SOLN,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),ZIAGEN,SOLN,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),ABACAVIR,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),ABACAVIR SULFATE,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),EMTRICITABINE,CAPS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),EMTRIVA,CAPS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),EMTRIVA,SOLN,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),EPIVIR,SOLN,NON_PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),LAMIVUDINE,SOLN,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),EPIVIR,TABS,NON_PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),LAMIVUDINE,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),RETROVIR,CAPS,NON_PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),ZIDOVUDINE,CAPS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),RETROVIR,SYRP,NON_PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),ZIDOVUDINE,SYRP,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),ZIDOVUDINE,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),VIREAD,POWD,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),TENOFOVIR DISOPROXIL FUMARATE,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),VIREAD,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),PIFELTRO,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),EFAVIRENZ,CAPS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),EFAVIRENZ,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),ETRAVIRINE,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),INTELENCE,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),NEVIRAPINE,SUSP,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),NEVIRAPINE,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),NEVIRAPINE ER,TB24,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),VIRAMUNE XR,TB24,NON_PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),EDURANT,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),TYBOST,TABS,NON_PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),ABACAVIR SULFATE/LAMIVUDINE,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),EPZICOM,TABS,NON_PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),EVOTAZ,TABS,NON_PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),CABENUVA,SUER,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),DOVATO,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),PREZCOBIX,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),JULUCA,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),DESCOVY,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),EMTRICITABINE/TENOFOVIR DISOPROXIL,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),EMTRICITABINE/TENOFOVIR DISOPROXIL FUMARATE,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),TRUVADA,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),CIMDUO,TABS,NON_PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),COMBIVIR,TABS,NON_PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),LAMIVUDINE/ZIDOVUDINE,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),KALETRA,SOLN,NON_PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),LOPINAVIR/RITONAVIR,SOLN,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),KALETRA,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),LOPINAVIR/RITONAVIR,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),TRIUMEQ,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),TRIUMEQ PD,TBSO,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),BIKTARVY,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),DELSTRIGO,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),EFAVIRENZ/EMTRICITABINE/TENOFOVIR DISOPROXIL FUMARATE,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),EFAVIRENZ/LAMIVUDINE/TENOFOVIR DISOPROXIL FUMARATE,TABS,NON_PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),SYMFI,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),SYMFI LO,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),ODEFSEY,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),COMPLERA,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),SYMTUZA,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),GENVOYA,TABS,PREFERRED
ANTIVIRALS : ANTIRETROVIRALS (HIV),STRIBILD,TABS,NON_PREFERRED
ANTIVIRALS : HEPATITIS B AGENTS ,ADEFOVIR DIPIVOXIL,TABS,NON_PREFERRED
ANTIVIRALS : HEPATITIS B AGENTS ,BARACLUDE,SOLN,NON_PREFERRED
ANTIVIRALS : HEPATITIS B AGENTS ,BARACLUDE,TABS,NON_PREFERRED
ANTIVIRALS : HEPATITIS B AGENTS ,ENTECAVIR,TABS,PREFERRED
ANTIVIRALS : HEPATITIS B AGENTS ,LAMIVUDINE,TABS,NON_PREFERRED
ANTIVIRALS : HEPATITIS B AGENTS ,VEMLIDY,TABS,NON_PREFERRED
ANTIVIRALS : HEPATITIS C AGENTS,PEGASYS,SOLN,NON_PREFERRED
ANTIVIRALS : HEPATITIS C AGENTS,PEGASYS,SOSY,NON_PREFERRED
ANTIVIRALS : HEPATITIS C AGENTS,RIBAVIRIN,CAPS,PREFERRED
ANTIVIRALS : HEPATITIS C AGENTS,RIBAVIRIN,TABS,PREFERRED
ANTIVIRALS : HEPATITIS C AGENTS,SOVALDI,PACK,NON_PREFERRED
ANTIVIRALS : HEPATITIS C AGENTS,SOVALDI,TABS,NON_PREFERRED
ANTIVIRALS : HEPATITIS C AGENTS,ZEPATIER,TABS,NON_PREFERRED
ANTIVIRALS : HEPATITIS C AGENTS,MAVYRET,PACK,PREFERRED
ANTIVIRALS : HEPATITIS C AGENTS,MAVYRET,TABS,PREFERRED
ANTIVIRALS : HEPATITIS C AGENTS,HARVONI,PACK,NON_PREFERRED
ANTIVIRALS : HEPATITIS C AGENTS,HARVONI,TABS,NON_PREFERRED
ANTIVIRALS : HEPATITIS C AGENTS,LEDIPASVIR/SOFOSBUVIR,TABS,NON_PREFERRED
ANTIVIRALS : HEPATITIS C AGENTS,EPCLUSA,PACK,NON_PREFERRED
ANTIVIRALS : HEPATITIS C AGENTS,EPCLUSA,TABS,NON_PREFERRED
ANTIVIRALS : HEPATITIS C AGENTS,SOFOSBUVIR/VELPATASVIR,TABS,PREFERRED
ANTIVIRALS : HEPATITIS C AGENTS,VOSEVI,TABS,NON_PREFERRED
ANTIVIRALS : MISC,PREVYMIS,PACK,NON_PREFERRED
ANTIVIRALS : MISC,PREVYMIS,TABS,PREFERRED_WITH_PA
ANTIVIRALS : MISC,LIVTENCITY,TABS,PREFERRED_WITH_PA
ANTIVIRALS : MISC,VALCYTE,SOLR,NON_PREFERRED
ANTIVIRALS : MISC,VALGANCICLOVIR HYDROCHLORIDE,SOLR,NON_PREFERRED
ANTIVIRALS : MISC,VALCYTE,TABS,NON_PREFERRED
ANTIVIRALS : MISC,VALGANCICLOVIR,TABS,PREFERRED
ANTIVIRALS : MISC,ACYCLOVIR,CAPS,PREFERRED
ANTIVIRALS : MISC,ACYCLOVIR,SUSP,PREFERRED
ANTIVIRALS : MISC,ACYCLOVIR,TABS,PREFERRED
ANTIVIRALS : MISC,SITAVIG,TABS,NON_PREFERRED
ANTIVIRALS : MISC,VALACYCLOVIR HYDROCHLORIDE,TABS,PREFERRED
ANTIVIRALS : MISC,VALTREX,TABS,NON_PREFERRED
ANTIVIRALS : MISC,FAMCICLOVIR,TABS,NON_PREFERRED
ANTIVIRALS : MISC,RIMANTADINE HYDROCHLORIDE,TABS,NON_PREFERRED
ANTIVIRALS : MISC,XOFLUZA,TBPK,NON_PREFERRED
ANTIVIRALS : MISC,OSELTAMIVIR PHOSPHATE,CAPS,PREFERRED
ANTIVIRALS : MISC,TAMIFLU,CAPS,NON_PREFERRED
ANTIVIRALS : MISC,OSELTAMIVIR PHOSPHATE,SUSR,PREFERRED
ANTIVIRALS : MISC,TAMIFLU,SUSR,NON_PREFERRED
ANTIVIRALS : MISC,RELENZA DISKHALER,AEPB,PREFERRED
ANTIVIRALS : MISC,RIBAVIRIN,SOLR,PREFERRED
ANTIVIRALS : MISC,VIRAZOLE,SOLR,NON_PREFERRED
ANTIVIRALS : MISC,LAGEVRIO,CAPS,PREFERRED
ANTIVIRALS : MISC,PAXLOVID,TBPK,PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITOR COMBINATIONS,AMLODIPINE BESYLATE/BENAZEPRIL HCL,CAPS,PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITOR COMBINATIONS,AMLODIPINE BESYLATE/BENAZEPRIL HYDROCHLORIDE,CAPS,PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITOR COMBINATIONS,LOTREL,CAPS,NON_PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITOR COMBINATIONS,TRANDOLAPRIL/VERAPAMIL HCL ER,TBCR,PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITOR COMBINATIONS,BENAZEPRIL HYDROCHLORIDE/HYDROCHLOROTHIAZIDE,TABS,PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITOR COMBINATIONS,LOTENSIN HCT,TABS,NON_PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITOR COMBINATIONS,CAPTOPRIL/HYDROCHLOROTHIAZIDE,TABS,PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITOR COMBINATIONS,ENALAPRIL MALEATE/HYDROCHLOROTHIAZIDE,TABS,PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITOR COMBINATIONS,VASERETIC,TABS,NON_PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITOR COMBINATIONS,FOSINOPRIL SODIUM/HYDROCHLOROTHIAZIDE,TABS,PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITOR COMBINATIONS,LISINOPRIL/HYDROCHLOROTHIAZIDE,TABS,PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITOR COMBINATIONS,ZESTORETIC,TABS,NON_PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITOR COMBINATIONS,ACCURETIC,TABS,NON_PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITOR COMBINATIONS,QUINAPRIL/HYDROCHLOROTHIAZIDE,TABS,PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITORS,BENAZEPRIL HCL,TABS,PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITORS,BENAZEPRIL HYDROCHLORIDE,TABS,PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITORS,LOTENSIN,TABS,NON_PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITORS,CAPTOPRIL,TABS,PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITORS,ENALAPRIL MALEATE,SOLN,NON_PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITORS,EPANED,SOLN,NON_PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITORS,ENALAPRIL MALEATE,TABS,PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITORS,VASOTEC,TABS,NON_PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITORS,FOSINOPRIL SODIUM,TABS,PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITORS,QBRELIS,SOLN,NON_PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITORS,LISINOPRIL,TABS,PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITORS,ZESTRIL,TABS,NON_PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITORS,MOEXIPRIL HCL,TABS,PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITORS,PERINDOPRIL ERBUMINE,TABS,NON_PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITORS,ACCUPRIL,TABS,NON_PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITORS,QUINAPRIL HYDROCHLORIDE,TABS,PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITORS,ALTACE,CAPS,NON_PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITORS,RAMIPRIL,CAPS,PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITORS,TRANDOLAPRIL,TABS,PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ANGIOTENSIN II RECEPTOR BLOCKER COMBINATIONS,AMLODIPINE/OLMESARTAN MEDOXOMIL,TABS,NON_PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ANGIOTENSIN II RECEPTOR BLOCKER COMBINATIONS,AZOR,TABS,NON_PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ANGIOTENSIN II RECEPTOR BLOCKER COMBINATIONS,AMLODIPINE BESYLATE/VALSARTAN,TABS,NON_PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ANGIOTENSIN II RECEPTOR BLOCKER COMBINATIONS,EXFORGE,TABS,NON_PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ANGIOTENSIN II RECEPTOR BLOCKER COMBINATIONS,TELMISARTAN/AMLODIPINE,TABS,NON_PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ANGIOTENSIN II RECEPTOR BLOCKER COMBINATIONS,EDARBYCLOR,TABS,NON_PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ANGIOTENSIN II RECEPTOR BLOCKER COMBINATIONS,ATACAND HCT,TABS,NON_PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ANGIOTENSIN II RECEPTOR BLOCKER COMBINATIONS,CANDESARTAN CILEXETIL/HYDROCHLOROTHIAZIDE,TABS,NON_PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ANGIOTENSIN II RECEPTOR BLOCKER COMBINATIONS,AVALIDE,TABS,NON_PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ANGIOTENSIN II RECEPTOR BLOCKER COMBINATIONS,IRBESARTAN/HYDROCHLOROTHIAZIDE,TABS,PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ANGIOTENSIN II RECEPTOR BLOCKER COMBINATIONS,HYZAAR,TABS,NON_PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ANGIOTENSIN II RECEPTOR BLOCKER COMBINATIONS,LOSARTAN POTASSIUM/HYDROCHLOROTHIAZIDE,TABS,PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ANGIOTENSIN II RECEPTOR BLOCKER COMBINATIONS,BENICAR HCT,TABS,NON_PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ANGIOTENSIN II RECEPTOR BLOCKER COMBINATIONS,OLMESARTAN MEDOXOMIL/HYDROCHLOROTHIAZIDE,TABS,NON_PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ANGIOTENSIN II RECEPTOR BLOCKER COMBINATIONS,MICARDIS HCT,TABS,NON_PREFERRED
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ANGIOTENSIN II RECEPTOR BLOCKER COMBINATIONS,TELMISARTAN/HYDROCHLOROTHIAZIDE,TABS,NON_PREFERRED
