therapeutic_class,status,pdl_name
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Enalapril Tablet (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Enalapril/HCTZ (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Fosinopril (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Fosinopril/HCTZ (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Irbesartan (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Irbesartan/HCTZ (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Lisinopril (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Lisinopril/HCTZ (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Losartan (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Losartan/HCTZ (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Olmesartan (AG; Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Olmesartan/HCTZ (AG; Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Ramipril (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Sacubitril/Valsartan Tablet (Entresto)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Valsartan (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Valsartan/HCTZ (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Amlodipine/Benazepril (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Amlodipine/Olmesartan (AG; Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Amlodipine/Valsartan (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Acebutolol Capsule (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Atenolol Tablet (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Atenolol/Chlorthalidone Tablet (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Bisoprolol Tablet (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Bisoprolol/HCTZ Tablet (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Carvedilol Tablet (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Labetalol Tablet (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Metoprolol Succinate ER Tablet (AG; Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Metoprolol Tartrate Tablet (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Nadolol Tablet (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Nebivolol Tablet (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Propranolol Oral Solution (Hemangeol)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Propranolol ER Capsule (AG; Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Propranolol Solution (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Propranolol Tablet (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Sotalol Tablet (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Amlodipine Tablet (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Diltiazem ER Capsule (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Diltiazem IR Tablet (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Felodipine ER Tablet (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Nifedipine ER Tablet (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Nifedipine IR Capsule (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Verapamil ER Tablet (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Verapamil IR Tablet (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Cholestyramine/Aspartame Powder (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Cholestyramine/Sucrose Powder (Generic for Questran)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Colesevelam Tablet (AG; Generic for Welchol)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,"Colestipol Granules, Tablet (Generic)"
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Evolocumab Auto-Injector (Repatha SureClick)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Evolocumab Cartridge (Repatha Pushtronex)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Evolocumab Prefilled Syringe (Repatha)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Ezetimibe Tablet (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,"Fenofibrate Nanocrystallized Tablet 48mg, 145mg (Generic Tricor)"
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,"Fenofibrate Capsule, Tablet (Generic for Lofibra)"
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Gemfibrozil Tablet (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Icosapent Ethyl Capsule (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Niacin ER Tablet (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Omega-3-acid Ethyl Esters Capsule (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Ambrisentan Tablet (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Bosentan Tablet (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,"Sildenafil Oral Suspension, Tablet (Generic for Revatio)"
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Tadalafil Tablet (Generic for Adcirca)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Atorvastatin Tablet (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Ezetimibe/Simvastatin Tablet (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Lovastatin Tablet (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Pravastatin Tablet (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Rosuvastatin Tablet (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Simvastatin Tablet (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Clonidine Patch (AG; Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Clonidine Tablet (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Guanfacine Tablet (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Methyldopa Tablet (AG; Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Isosorbide Dinitrate Tablet (AG; Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Isosorbide Dinitrate/Hydralazine Tablet (AG; Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Isosorbide Mononitrate Tablet (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Isosorbide Mononitrate SR Tablet (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Nitroglycerin Sublingual Tablet (AG; Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Nitroglycerin Transdermal Ointment (Nitro-Bid)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Nitroglycerin Transdermal Patch (AG; Generic)
"HEMATOLOGIC AGENTS, HEMATOPOIETIC AGENTS",Preferred,Darbepoetin Syringe (Aranesp)
"HEMATOLOGIC AGENTS, HEMATOPOIETIC AGENTS",Preferred,Darbepoetin Vial (Aranesp)
"HEMATOLOGIC AGENTS, HEMATOPOIETIC AGENTS",Preferred,Epoetin alfa-epbx Vial (Retacrit) [by Pfizer]
"HEMATOLOGIC AGENTS, HEMATOPOIETIC AGENTS",Preferred,Epoetin alfa Vial (Epogen)
HEMODIALYSIS,Preferred,Calcium Acetate Capsule (Generic)
HEMODIALYSIS,Preferred,Sevelamer Carbonate Tablet (AG; Generic)
HEMOPHILIA TREATMENT,Preferred,Emicizumab-kxwh (Hemlibra)
HEMOPHILIA TREATMENT,Preferred,"Factor IX Human Recombinant, GlycoPEGylated (Rebinyn)"
HEMOPHILIA TREATMENT,Preferred,Factor IX Human Recombinant (BeneFIX Kit)
HEMOPHILIA TREATMENT,Preferred,"Factor VIIa, Recombinant (NovoSeven RT)"
HEMOPHILIA TREATMENT,Preferred,Factor VIII (Kovaltry)
HEMOPHILIA TREATMENT,Preferred,"Factor VIII, B-Domain-Deleted (Xyntha Kit)"
HEMOPHILIA TREATMENT,Preferred,"Factor VIII, B-Domain-Deleted (Xyntha Solofuse Syringe Kit)"
HEMOPHILIA TREATMENT,Preferred,"Factor VIII, B-Domain-Truncated (Novoeight)"
HEMOPHILIA TREATMENT,Preferred,"Factor VIII, HEK B-Domain-Deleted (Nuwiq)"
HEMOPHILIA TREATMENT,Preferred,"Factor VIII, Recombinant, PEGylated-aucl (Jivi)"
HEMOPHILIA TREATMENT,Preferred,Factor VIII/VWF (Alphanate)
HEMOPHILIA TREATMENT,Preferred,Factor VIII/VWF (Humate-P Kit)
HEMOPHILIA TREATMENT,Preferred,Factor VIII/VWF (Wilate)
HEMOPHILIA TREATMENT,Preferred,Factor X (Coagadex)
HEMOPHILIA TREATMENT,Preferred,"Factor XIII Concentrate, Human (Corifact Kit)"
HEREDITARY ANGIOEDEMA,Preferred,C1 Esterase Inhibitor Subcutaneous Vial (Haegarda)
HEREDITARY ANGIOEDEMA,Preferred,Icatibant Acetate Subcutaneous Syringe (Generic)
HIV-AIDS,Preferred,Abacavir Solution (Generic; Ziagen)
HIV-AIDS,Preferred,Abacavir Tablet (Generic for Ziagen)
HIV-AIDS,Preferred,Abacavir/Dolutegravir/Lamivudine (Triumeq; Triumeq PD)
HIV-AIDS,Preferred,Abacavir/Lamivudine Tablet (Generic; Epzicom)
HIV-AIDS,Preferred,Atazanavir Capsule (Generic)
HIV-AIDS,Preferred,"Atazanavir Capsule, Powder Pack (Reyataz)"
HIV-AIDS,Preferred,Atazanavir Sulfate/Cobicistat Tablet (Evotaz)
HIV-AIDS,Preferred,Bictegravir/Emtricitabine/Tenofovir AF Tablet (Biktarvy)
HIV-AIDS,Preferred,Cabotegravir (Apretude)
HIV-AIDS,Preferred,Cabotegravir/Rilpivirine IM (Cabenuva)
HIV-AIDS,Preferred,Cobicistat Tablet (Tybost)
HIV-AIDS,Preferred,Darunavir Ethanolate Tablet (Generic; Prezista)
HIV-AIDS,Preferred,Darunavir Ethanolate Suspension (Prezista)
HIV-AIDS,Preferred,Darunavir/Cobicistat/Emtricitabine/Tenofovir AF (Symtuza)
HIV-AIDS,Preferred,Darunavir/Cobicistat Tablet (Prezcobix)
HIV-AIDS,Preferred,Didanosine Capsule DR (Generic)
HIV-AIDS,Preferred,"Dolutegravir Sodium Suspension, Tablet (Tivicay PD; Tivicay)"
HIV-AIDS,Preferred,Dolutegravir Sodium/Lamivudine Tablet (Dovato)
HIV-AIDS,Preferred,Dolutegravir/Rilpivirine Tablet (Juluca)
HIV-AIDS,Preferred,Doravirine Tablet (Pifeltro)
HIV-AIDS,Preferred,Doravirine/Lamivudine/Tenofovir DF Tablet (Delstrigo)
HIV-AIDS,Preferred,"Efavirenz Capsule, Tablet (Generic for Sustiva)"
HIV-AIDS,Preferred,Efavirenz/Emtricitabine/Tenofovir DF (Generic for Atripla)
HIV-AIDS,Preferred,Efavirenz/Lamivudine/Tenofovir DF (Generic; Symfi Lo)
HIV-AIDS,Preferred,Efavirenz/Lamivudine/Tenofovir DF (Generic; Symfi)
HIV-AIDS,Preferred,Elvitegravir/Cobicistat/Emtricitabine/Tenofovir AF (Genvoya)
HIV-AIDS,Preferred,Elvitegravir/Cobicistat/Emtricitabine/Tenofovir DF (Stribild)
HIV-AIDS,Preferred,Emtricitabine/Rilpivirine/Tenofovir DF Tablet (Complera)
HIV-AIDS,Preferred,Emtricitabine/Rilpivirine/Tenofovir AF Tablet (Odefsey)
HIV-AIDS,Preferred,Emtricitabine Capsule (Generic; Emtriva)
HIV-AIDS,Preferred,Emtricitabine Solution (Emtriva)
HIV-AIDS,Preferred,Emtricitabine/Tenofovir AF Tablet (Descovy)
HIV-AIDS,Preferred,Emtricitabine/Tenofovir DF Tablet (Generic; Truvada)
HIV-AIDS,Preferred,Enfuvirtide Vial (Fuzeon)
HIV-AIDS,Preferred,Etravirine Tablet (Generic; Intelence)
HIV-AIDS,Preferred,Fosamprenavir Tablet (Generic for Lexiva)
HIV-AIDS,Preferred,Fostemsavir Tromethamine Tablet (Rukobia)
HIV-AIDS,Preferred,Ibalizumab-uiyk Vial (Trogarzo)
HIV-AIDS,Preferred,"Lamivudine Solution, Tablet (Generic; Epivir)"
HIV-AIDS,Preferred,Lamivudine/Tenofovir DF Tablet (Cimduo)
HIV-AIDS,Preferred,Lamivudine/Zidovudine Tablet (Generic for Combivir)
HIV-AIDS,Preferred,"Lenacapavir Subcutaneous, Tablet (Sunlenca)"
HIV-AIDS,Preferred,"Lopinavir/Ritonavir Solution, Tablet (Generic; Kaletra)"
HIV-AIDS,Preferred,Maraviroc Solution (Selzentry)
HIV-AIDS,Preferred,Maraviroc Tablet (Generic; Selzentry)
HIV-AIDS,Preferred,Nelfinavir Mesylate Tablet (Viracept)
HIV-AIDS,Preferred,"Nevirapine ER Tablet, Suspension, Tablet (Generic)"
HIV-AIDS,Preferred,"Raltegravir Potassium Chewable, Powder Pack, Tablet (Isentress)"
HIV-AIDS,Preferred,Raltegravir Potassium Tablet (Isentress HD)
HIV-AIDS,Preferred,Rilpivirine HCl Tablet (Edurant)
HIV-AIDS,Preferred,Ritonavir Powder Pack (Norvir)
HIV-AIDS,Preferred,Ritonavir Tablet (Generic; Norvir)
HIV-AIDS,Preferred,Stavudine Capsule (Generic)
HIV-AIDS,Preferred,Tenofovir Disoproxil Fumarate Tablet (Generic)
HIV-AIDS,Preferred,"Tenofovir Disoproxil Fumarate Powder, Tablet (Viread)"
HIV-AIDS,Preferred,Tipranavir Capsule (Aptivus)
HIV-AIDS,Preferred,Zidovudine Syrup (Generic; Retrovir)
HIV-AIDS,Preferred,"Zidovudine Capsule, Tablet (Generic)"
IDIOPATHIC PULMONARY FIBROSIS,Preferred,Nintedanib Capsule (Ofev)
IDIOPATHIC PULMONARY FIBROSIS,Preferred,Pirfenidone Capsule (Generic)
IDIOPATHIC PULMONARY FIBROSIS,Preferred,Pirfenidone Tablet (Generic)
IMMUNE GLOBULINS (IG),Preferred,IG Injection [(Human) Gamunex-C]
IMMUNE GLOBULINS (IG),Preferred,IG Intravenous [(Human) Gammagard Liquid]
IMMUNE GLOBULINS (IG),Preferred,IG Intravenous [(Human) Privigen]
IMMUNE GLOBULINS (IG),Preferred,IG Subcutaneous Syringe [(Human) Hizentra]
IMMUNE GLOBULINS (IG),Preferred,IG Subcutaneous Vial [(Human) Hizentra]
"IMMUNOSUPPRESSIVES, ORAL",Preferred,Azathioprine Tablet (Generic)
"IMMUNOSUPPRESSIVES, ORAL",Preferred,"Cyclosporine Capsule – MODIFIED 25 mg, 100 mg"
"IMMUNOSUPPRESSIVES, ORAL",Preferred,Cyclosporine Softgel – MODIFIED 50 mg (Generic)
"IMMUNOSUPPRESSIVES, ORAL",Preferred,Mycophenolate Mofetil Capsule (Generic)
"IMMUNOSUPPRESSIVES, ORAL",Preferred,Mycophenolate Mofetil Tablet (Generic)
"IMMUNOSUPPRESSIVES, ORAL",Preferred,Mycophenolic Acid as Mycophenolate Sodium (Generic)
"IMMUNOSUPPRESSIVES, ORAL",Preferred,Sirolimus Solution (Generic for Rapamune)
"IMMUNOSUPPRESSIVES, ORAL",Preferred,Sirolimus Tablet (AG; Generic; Rapamune)
"IMMUNOSUPPRESSIVES, ORAL",Preferred,Tacrolimus Capsule (Generic)
INFECTIOUS DISORDERS,Preferred,Amoxicillin/Clavulanate Suspension (AG; Generic)
INFECTIOUS DISORDERS,Preferred,Amoxicillin/Clavulanate Tablet (AG; Generic)
INFECTIOUS DISORDERS,Preferred,Cefadroxil Capsule (Generic)
INFECTIOUS DISORDERS,Preferred,"Cefdinir Capsule, Suspension (Generic)"
INFECTIOUS DISORDERS,Preferred,"Cefprozil Suspension, Tablet (Generic)"
INFECTIOUS DISORDERS,Preferred,Cefuroxime Tablet (Generic)
INFECTIOUS DISORDERS,Preferred,"Cephalexin Capsule, Suspension (Generic)"
INFECTIOUS DISORDERS,Preferred,Ciprofloxacin Tablet (Generic)
INFECTIOUS DISORDERS,Preferred,Levofloxacin Tablet (Generic)
INFECTIOUS DISORDERS,Preferred,"Metronidazole 250mg, 500mg Tablet (Generic)"
INFECTIOUS DISORDERS,Preferred,Neomycin Tablet (Generic)
INFECTIOUS DISORDERS,Preferred,Tinidazole Tablet (Generic)
INFECTIOUS DISORDERS,Preferred,Vancomycin HCl Capsule (AG; Generic)
INFECTIOUS DISORDERS,Preferred,Tobramycin Capsule (Tobi Podhaler)
INFECTIOUS DISORDERS,Preferred,Tobramycin Solution (Generic for Tobi)
INFECTIOUS DISORDERS,Preferred,Clindamycin Capsule (Generic)
INFECTIOUS DISORDERS,Preferred,Clindamycin Palmitate Solution (Generic)
INFECTIOUS DISORDERS,Preferred,Azithromycin Packet (AG)
INFECTIOUS DISORDERS,Preferred,"Azithromycin Suspension, Tablet (Generic)"
INFECTIOUS DISORDERS,Preferred,Clarithromycin Tablet (Generic)
INFECTIOUS DISORDERS,Preferred,Erythromycin Base DR Tablet (Generic)
INFECTIOUS DISORDERS,Preferred,Nitrofurantoin Macrocrystals Capsule (Generic)
INFECTIOUS DISORDERS,Preferred,Nitrofurantoin Monohydrate Macrocrystals Capsule (AG; Generic)
INFECTIOUS DISORDERS,Preferred,Linezolid Tablet (AG; Generic)
INFECTIOUS DISORDERS,Preferred,Doxycycline Hyclate Capsule (Generic)
INFECTIOUS DISORDERS,Preferred,Doxycycline Hyclate Tablet (Generic)
INFECTIOUS DISORDERS,Preferred,"Doxycycline Monohydrate 50 mg, 100mg Capsule (AG; Generic)"
INFECTIOUS DISORDERS,Preferred,Doxycycline Monohydrate Tablet (Generic)
INFECTIOUS DISORDERS,Preferred,Minocycline Capsule (Generic)
INFECTIOUS DISORDERS,Preferred,Clindamycin Vaginal Cream (Generic for Cleocin)
INFECTIOUS DISORDERS,Preferred,Metronidazole Vaginal Gel (Nuvessa)
INFECTIOUS DISORDERS,Preferred,Metronidazole Vaginal Gel (Generic for MetroGel-Vaginal)
INFECTIOUS DISORDERS,Preferred,Clotrimazole Troche (Generic)
INFECTIOUS DISORDERS,Preferred,Fluconazole Suspension (Generic)
INFECTIOUS DISORDERS,Preferred,Fluconazole Tablet (Generic)
INFECTIOUS DISORDERS,Preferred,Griseofulvin Suspension (Generic)
INFECTIOUS DISORDERS,Preferred,Nystatin Suspension (Generic)
INFECTIOUS DISORDERS,Preferred,Nystatin Tablet (Generic)
INFECTIOUS DISORDERS,Preferred,Terbinafine Tablet (Generic)
INFECTIOUS DISORDERS,Preferred,Adefovir Dipivoxil Tablet (Generic)
INFECTIOUS DISORDERS,Preferred,Entecavir Tablet (Generic)
INFECTIOUS DISORDERS,Preferred,Lamivudine HBV Tablet (Generic)
INFECTIOUS DISORDERS,Preferred,Tenofovir Alafenamide Tablet (Vemlidy)
INFECTIOUS DISORDERS,Preferred,Sofosbuvir/Velpatasvir Tablet (AG for Epclusa)
INFECTIOUS DISORDERS,Preferred,Peginterferon alfa 2a Syringe (Pegasys)
INFECTIOUS DISORDERS,Preferred,Peginterferon alfa 2a Vial (Pegasys)
INFECTIOUS DISORDERS,Preferred,Ribavirin Tablet (Generic)
METHOTREXATE,Preferred,Methotrexate PF Vial (AG; Generic)
METHOTREXATE,Preferred,Methotrexate Tablet
METHOTREXATE,Preferred,Methotrexate Vial
MOVEMENT DISORDER,Preferred,Deutetrabenazine Tablet (Austedo; Austedo XR)
MOVEMENT DISORDER,Preferred,Tetrabenazine Tablet (Generic)
MOVEMENT DISORDER,Preferred,"Valbenazine Capsule, Sprinkle (Ingrezza)"
MOVEMENT DISORDER,Preferred,Valbenazine Capsule Initiation Pack (Ingrezza)
MULTIPLE SCLEROSIS,Preferred,Dalfampridine ER Tablet (Generic)
MULTIPLE SCLEROSIS,Preferred,Dimethyl Fumarate DR Capsule (Generic)
MULTIPLE SCLEROSIS,Preferred,Dimethyl Fumarate DR Starter Pack (Generic)
MULTIPLE SCLEROSIS,Preferred,Fingolimod Capsule (Generic for Gilenya)
MULTIPLE SCLEROSIS,Preferred,"Glatiramer Acetate Syringe 20mg, 40mg (Generic)"
MULTIPLE SCLEROSIS,Preferred,Interferon β-1a Pen Kit (Avonex Pen)
MULTIPLE SCLEROSIS,Preferred,Interferon β-1b Kit (Betaseron)
MULTIPLE SCLEROSIS,Preferred,"Interferon β-1a Syringe, Syringe Kit (Avonex)"
MULTIPLE SCLEROSIS,Preferred,Interferon β-1a Vial Kit (Avonex)
MULTIPLE SCLEROSIS,Preferred,Ofatumumab Pen (Kesimpta)
MULTIPLE SCLEROSIS,Preferred,Teriflunomide Tablet (Generic)
MULTIVITAMINS,Preferred,MVI/Minerals No.10/FA//D3/ALA/Lutein (Strovite One)
MULTIVITAMINS,Preferred,MVI/Minerals No.20/Iron/FA (Bacmin)
MULTIVITAMINS,Preferred,Omega-3/DHA/EPA/B12/FA/B6/Phytosterols (BP Vit 3)
ONCOLOGY,Preferred,Anastrozole Tablet (Generic)
ONCOLOGY,Preferred,Capecitabine Tablet (Generic)
ONCOLOGY,Preferred,"Cyclophosphamide Capsule, Tablet (Generic)"
ONCOLOGY,Preferred,Exemestane Tablet (Generic)
ONCOLOGY,Preferred,Fulvestrant Syringe (AG; Generic)
ONCOLOGY,Preferred,Letrozole Tablet (Generic)
ONCOLOGY,Preferred,Ribociclib Succinate Tablet (Kisqali)
ONCOLOGY,Preferred,Tamoxifen Citrate Tablet (Generic)
ONCOLOGY,Preferred,Dasatinib Tablet (Sprycel)
ONCOLOGY,Preferred,Hydroxyurea Capsule (Generic)
ONCOLOGY,Preferred,Ibrutinib Capsule (Imbruvica)
ONCOLOGY,Preferred,Ibrutinib Tablet (Imbruvica)
ONCOLOGY,Preferred,Imatinib Mesylate Tablet (Generic)
ONCOLOGY,Preferred,Lenalidomide Capsule (Generic; Revlimid)
ONCOLOGY,Preferred,Mercaptopurine Tablet (Generic)
ONCOLOGY,Preferred,Procarbazine HCl Capsule (Matulane)
ONCOLOGY,Preferred,Ruxolitinib Phosphate Tablet (Jakafi)
ONCOLOGY,Preferred,Tretinoin Capsule (Generic)
ONCOLOGY,Preferred,Venetoclax Tablet (Venclexta)
ONCOLOGY,Preferred,Venetoclax Starting Pack Tablet (Venclexta)
ONCOLOGY,Preferred,Afatinib Dimaleate Tablet (Gilotrif)
ONCOLOGY,Preferred,Alectinib HCl Capsule (Alecensa)
ONCOLOGY,Preferred,Crizotinib Capsule (Xalkori)
ONCOLOGY,Preferred,Osimertinib Mesylate Tablet (Tagrisso)
ONCOLOGY,Preferred,Topotecan HCl Capsule (Hycamtin)
ONCOLOGY,Preferred,Selumetinib Capsule (Koselugo)
ONCOLOGY,Preferred,Temozolomide Capsule (Generic)
ONCOLOGY,Preferred,(Preferred agents listed on page 45)
ONCOLOGY,Preferred,Abiraterone Acetate Tablet (Generic for Zytiga)
ONCOLOGY,Preferred,Bicalutamide Tablet (Generic)
ONCOLOGY,Preferred,"Enzalutamide Capsule, Tablet (Xtandi)"
ONCOLOGY,Preferred,Axitinib Tablet (Inlyta)
ONCOLOGY,Preferred,Everolimus Tablet (Generic for Afinitor)
ONCOLOGY,Preferred,Lenvatinib Mesylate Capsule (Lenvima)
ONCOLOGY,Preferred,Pazopanib HCl Tablet (Generic; Votrient)
ONCOLOGY,Preferred,Sorafenib Tosylate Tablet (Generic; Nexavar)
ONCOLOGY,Preferred,Sunitinib Malate Capsule (Generic)
ONCOLOGY,Preferred,Cobimetinib Fumarate Tablet (Cotellic)
ONCOLOGY,Preferred,Dabrafenib Mesylate Capsule (Tafinlar)
ONCOLOGY,Preferred,Sonidegib Phosphate Capsule (Odomzo)
ONCOLOGY,Preferred,Trametinib Dimethyl Sulfoxide Tablet (Mekinist)
ONCOLOGY,Preferred,Vemurafenib Tablet (Zelboraf)
OPHTHALMIC DISORDERS,Preferred,Azelastine HCl Solution (Generic)
OPHTHALMIC DISORDERS,Preferred,Cromolyn Sodium Solution (Generic)
OPHTHALMIC DISORDERS,Preferred,Loteprednol Suspension (Generic; Alrex)
OPHTHALMIC DISORDERS,Preferred,Olopatadine HCl 0.1% Solution (Generic for Patanol)
OPHTHALMIC DISORDERS,Preferred,Bacitracin/Polymyxin B Sulfate Ointment (Generic)
OPHTHALMIC DISORDERS,Preferred,Ciprofloxacin Ophthalmic Solution (Generic)
OPHTHALMIC DISORDERS,Preferred,Erythromycin Base Ointment (Generic)
OPHTHALMIC DISORDERS,Preferred,Gentamicin Sulfate Solution (Generic)
OPHTHALMIC DISORDERS,Preferred,Moxifloxacin Solution (AG; Generic for Vigamox)
OPHTHALMIC DISORDERS,Preferred,Neomycin/Polymyxin B/Gramicidin Solution (Generic)
OPHTHALMIC DISORDERS,Preferred,Ofloxacin Ophthalmic Solution (Generic)
OPHTHALMIC DISORDERS,Preferred,Polymyxin B Sulfate/Trimethoprim Solution (Generic)
OPHTHALMIC DISORDERS,Preferred,Sulfacetamide Sodium Solution (Generic)
OPHTHALMIC DISORDERS,Preferred,Tobramycin Solution (Generic)
OPHTHALMIC DISORDERS,Preferred,Neomycin/Polymyxin B/Dexamethasone Ointment (Generic)
OPHTHALMIC DISORDERS,Preferred,Neomycin/Polymyxin B/Dexamethasone Suspension (Generic)
OPHTHALMIC DISORDERS,Preferred,Sulfacetamide/Prednisolone Solution (Generic)
OPHTHALMIC DISORDERS,Preferred,Tobramycin/Dexamethasone Ointment (TobraDex)
OPHTHALMIC DISORDERS,Preferred,Tobramycin/Dexamethasone Drops (AG; Generic for TobraDex)
OPHTHALMIC DISORDERS,Preferred,Dexamethasone Sodium Phosphate Solution (Generic)
OPHTHALMIC DISORDERS,Preferred,Diclofenac Sodium Solution (Generic)
OPHTHALMIC DISORDERS,Preferred,Difluprednate Emulsion (AG; Generic; Durezol)
OPHTHALMIC DISORDERS,Preferred,Fluorometholone 0.1% Suspension (Generic)
OPHTHALMIC DISORDERS,Preferred,Flurbiprofen Sodium Solution (Generic)
OPHTHALMIC DISORDERS,Preferred,Ketorolac Tromethamine LS Solution 0.4% (Generic)
OPHTHALMIC DISORDERS,Preferred,Ketorolac Tromethamine Solution 0.5% (Generic)
OPHTHALMIC DISORDERS,Preferred,Prednisolone Acetate 1% Suspension (Generic)
OPHTHALMIC DISORDERS,Preferred,Cyclosporine 0.05% Emulsion (AG; Generic)
OPHTHALMIC DISORDERS,Preferred,Lifitegrast Solution (Xiidra)
OPHTHALMIC DISORDERS,Preferred,Brimonidine 0.15% Solution (Generic)
OPHTHALMIC DISORDERS,Preferred,Brimonidine 0.2% Solution (Generic)
OPHTHALMIC DISORDERS,Preferred,Brimonidine/Brinzolamide Suspension (Simbrinza)
OPHTHALMIC DISORDERS,Preferred,Brimonidine/Timolol Solution (AG; Generic)
OPHTHALMIC DISORDERS,Preferred,Carteolol Solution (Generic)
OPHTHALMIC DISORDERS,Preferred,Dorzolamide Solution (Generic)
OPHTHALMIC DISORDERS,Preferred,Dorzolamide/Timolol Solution (Generic)
OPHTHALMIC DISORDERS,Preferred,Latanoprost 2.5mL Solution (Generic)
OPHTHALMIC DISORDERS,Preferred,Levobunolol Solution (Generic)
