pdl_name,status,therapeutic_class
"ORENCIA 50mg/0.4ml, 87.5mg/0.7ml, 125MG/ML, 
CLICKJECT",Non-Preferred,IMMUNOSUPPRESSANT DRUGS
ORGOVYX,Preferred,IMMUNOSUPPRESSANT DRUGS
PEMAZYRE,Preferred,IMMUNOSUPPRESSANT DRUGS
PHESGO,Preferred,IMMUNOSUPPRESSANT DRUGS
PIQRAY,Preferred,IMMUNOSUPPRESSANT DRUGS
POMALYST,Preferred,IMMUNOSUPPRESSANT DRUGS
PROGRAF GRANULES,Non-Preferred,IMMUNOSUPPRESSANT DRUGS
PURINETHOL,Preferred,IMMUNOSUPPRESSANT DRUGS
PURIXAN,Non-Preferred,IMMUNOSUPPRESSANT DRUGS
PYZCHIVA,Preferred,IMMUNOSUPPRESSANT DRUGS
QINLOCK,Preferred,IMMUNOSUPPRESSANT DRUGS
RETEVMO,Preferred,IMMUNOSUPPRESSANT DRUGS
REVLIMID,Preferred,IMMUNOSUPPRESSANT DRUGS
REVUFORJ,Preferred,IMMUNOSUPPRESSANT DRUGS
REZLIDHIA,Preferred,IMMUNOSUPPRESSANT DRUGS
REZUROCK,Non-Preferred,IMMUNOSUPPRESSANT DRUGS
RIDAURA,Preferred,IMMUNOSUPPRESSANT DRUGS
RINVOQ ER,Preferred,IMMUNOSUPPRESSANT DRUGS
RINVOQ LQ,Preferred,IMMUNOSUPPRESSANT DRUGS
ROZLYTREK,Preferred,IMMUNOSUPPRESSANT DRUGS
RUBRACA,Preferred,IMMUNOSUPPRESSANT DRUGS
RYDAPT,Preferred,IMMUNOSUPPRESSANT DRUGS
SANDOSTATIN LAR,Preferred,IMMUNOSUPPRESSANT DRUGS
SCEMBLIX,Preferred,IMMUNOSUPPRESSANT DRUGS
SILIQ,Non-Preferred,IMMUNOSUPPRESSANT DRUGS
SIMPONI,Non-Preferred,IMMUNOSUPPRESSANT DRUGS
"sirolimus soln., -tabs generic",Preferred,IMMUNOSUPPRESSANT DRUGS
"SKYRIZI CARTRIDGE, -PEN, -SYRINGE",Non-Preferred,IMMUNOSUPPRESSANT DRUGS
SOMATULINE DEPOT,Non-Preferred,IMMUNOSUPPRESSANT DRUGS
SOMAVERT,Non-Preferred,IMMUNOSUPPRESSANT DRUGS
SOTYKTU,Non-Preferred,IMMUNOSUPPRESSANT DRUGS
SPEVIGO (prefilled syringe),Non-Preferred,IMMUNOSUPPRESSANT DRUGS
SPRYCEL,Preferred,IMMUNOSUPPRESSANT DRUGS
STIVARGA,Preferred,IMMUNOSUPPRESSANT DRUGS
SUTENT,Preferred,IMMUNOSUPPRESSANT DRUGS
SYNRIBO,Preferred,IMMUNOSUPPRESSANT DRUGS
TABRECTA,Preferred,IMMUNOSUPPRESSANT DRUGS
tacrolimus generic,Preferred,IMMUNOSUPPRESSANT DRUGS
TAFINLAR,Preferred,IMMUNOSUPPRESSANT DRUGS
TAGRISSO,Preferred,IMMUNOSUPPRESSANT DRUGS
TALZENNA,Preferred,IMMUNOSUPPRESSANT DRUGS
TALTZ,Preferred,IMMUNOSUPPRESSANT DRUGS
TARGRETIN CAP,Preferred,IMMUNOSUPPRESSANT DRUGS
TASIGNA,Preferred,IMMUNOSUPPRESSANT DRUGS
TAVNEOS,Non-Preferred,IMMUNOSUPPRESSANT DRUGS
TAZVERIK,Preferred,IMMUNOSUPPRESSANT DRUGS
temozolomide generic,Preferred,IMMUNOSUPPRESSANT DRUGS
THALOMID,Preferred,IMMUNOSUPPRESSANT DRUGS
THIOGUANINE,Preferred,IMMUNOSUPPRESSANT DRUGS
TIBSOVO,Preferred,IMMUNOSUPPRESSANT DRUGS
TEPMETKO,Preferred,IMMUNOSUPPRESSANT DRUGS
TOPOSAR,Preferred,IMMUNOSUPPRESSANT DRUGS
"TREMFYA -pen, -prefilled syringe",Non-Preferred,IMMUNOSUPPRESSANT DRUGS
tretinoin caps generic,Preferred,IMMUNOSUPPRESSANT DRUGS
TRUQAP,Preferred,IMMUNOSUPPRESSANT DRUGS
TUKYSA,Preferred,IMMUNOSUPPRESSANT DRUGS
TURALIO,Preferred,IMMUNOSUPPRESSANT DRUGS
TYENNE,Preferred,IMMUNOSUPPRESSANT DRUGS
TYKERB,Preferred,IMMUNOSUPPRESSANT DRUGS
UCERIS,Non-Preferred,IMMUNOSUPPRESSANT DRUGS
VANFLYTA,Preferred,IMMUNOSUPPRESSANT DRUGS
VELSIPITY,Non-Preferred,IMMUNOSUPPRESSANT DRUGS
VENCLEXTA,Preferred,IMMUNOSUPPRESSANT DRUGS
VERZENIO,Preferred,IMMUNOSUPPRESSANT DRUGS
VITRAKVI,Preferred,IMMUNOSUPPRESSANT DRUGS
VIZIMPRO,Preferred,IMMUNOSUPPRESSANT DRUGS
VONJO,Non-Preferred,IMMUNOSUPPRESSANT DRUGS
VORANIGO,Preferred,IMMUNOSUPPRESSANT DRUGS
VOTRIENT,Preferred,IMMUNOSUPPRESSANT DRUGS
WELIREG,Preferred,IMMUNOSUPPRESSANT DRUGS
XALKORI,Preferred,IMMUNOSUPPRESSANT DRUGS
XOLAIR auto-injector,Preferred,IMMUNOSUPPRESSANT DRUGS
XOSPATA,Preferred,IMMUNOSUPPRESSANT DRUGS
XPOVIO PAK,Preferred,IMMUNOSUPPRESSANT DRUGS
XTANDI CAPS,Preferred,IMMUNOSUPPRESSANT DRUGS
YONSA,Non-Preferred,IMMUNOSUPPRESSANT DRUGS
ZEJULA,Preferred,IMMUNOSUPPRESSANT DRUGS
ZELBORAF,Preferred,IMMUNOSUPPRESSANT DRUGS
ZOLINZA,Preferred,IMMUNOSUPPRESSANT DRUGS
ZORTRESS,Non-Preferred,IMMUNOSUPPRESSANT DRUGS
ZYDELIG,Preferred,IMMUNOSUPPRESSANT DRUGS
ZYKADIA,Preferred,IMMUNOSUPPRESSANT DRUGS
ZYMFENTRA,Non-Preferred,IMMUNOSUPPRESSANT DRUGS
ZYTIGA 250mg,Preferred,IMMUNOSUPPRESSANT DRUGS
ZYTIGA 500mg,Non-Preferred,IMMUNOSUPPRESSANT DRUGS
afeditab cr generic,Preferred,CARDIOVASCULAR MEDICATIONS
amlodipine,Preferred,CARDIOVASCULAR MEDICATIONS
CARDIZEM LA 120mg,Preferred,CARDIOVASCULAR MEDICATIONS
diltiazem (generic Cardizem),Preferred,CARDIOVASCULAR MEDICATIONS
diltiazem cd/er 360mg (generic Cardizem CD),Non-Preferred,CARDIOVASCULAR MEDICATIONS
"diltiazem cd/er,cartia xt, dilt-cd (generic Cardizem 
CD-all strengths except 360mg)",Preferred,CARDIOVASCULAR MEDICATIONS
"diltiazem er,diltzac,taztia xt caps (generic Tiazac)",Preferred,CARDIOVASCULAR MEDICATIONS
"diltiazem er, dilt-xr (generic Dilacor XR)",Preferred,CARDIOVASCULAR MEDICATIONS
felodipine er generic,Preferred,CARDIOVASCULAR MEDICATIONS
isradipine generic,Non-Preferred,CARDIOVASCULAR MEDICATIONS
KATERZIA,Non-Preferred,CARDIOVASCULAR MEDICATIONS
levamlodipine generic,Non-Preferred,CARDIOVASCULAR MEDICATIONS
matzim la (generic Cardizem LA),Non-Preferred,CARDIOVASCULAR MEDICATIONS
nicardipine generic,Non-Preferred,CARDIOVASCULAR MEDICATIONS
nifedical xl generic,Preferred,CARDIOVASCULAR MEDICATIONS
nifedipine er generic,Preferred,CARDIOVASCULAR MEDICATIONS
nifedipine ir generic,Preferred,CARDIOVASCULAR MEDICATIONS
nifedipine sa generic,Preferred,CARDIOVASCULAR MEDICATIONS
NORLIQVA,Non-Preferred,CARDIOVASCULAR MEDICATIONS
NYMALIZE,Non-Preferred,CARDIOVASCULAR MEDICATIONS
nisoldipine sr generic,Non-Preferred,CARDIOVASCULAR MEDICATIONS
verapamil generic,Preferred,CARDIOVASCULAR MEDICATIONS
"verapamil er caps 100mg, 200mg, 300mg (generic 
Verelan PM)",Non-Preferred,CARDIOVASCULAR MEDICATIONS
verapamil sr caps 360mg (generic Verelan SR),Non-Preferred,CARDIOVASCULAR MEDICATIONS
digoxin 0.0625MG generic,Non-Preferred,CARDIOVASCULAR MEDICATIONS
digoxin 0.125MG generic,Preferred,CARDIOVASCULAR MEDICATIONS
LANOXIN INJ,Preferred,CARDIOVASCULAR MEDICATIONS
all beta-adrenergic antagonists generics are preferred,Preferred,CARDIOVASCULAR MEDICATIONS
betaxolol tabs generic,Non-Preferred,CARDIOVASCULAR MEDICATIONS
carvedilol er generic,Non-Preferred,CARDIOVASCULAR MEDICATIONS
HEMANGEOL (covered 5 weeks-12 months old),Preferred,CARDIOVASCULAR MEDICATIONS
INNOPRAN XL,Non-Preferred,CARDIOVASCULAR MEDICATIONS
metoprolol HCTZ generic,Non-Preferred,CARDIOVASCULAR MEDICATIONS
metoprolol succinate ER generic,Preferred,CARDIOVASCULAR MEDICATIONS
pindolol generic,Non-Preferred,CARDIOVASCULAR MEDICATIONS
nadolol generic,Preferred,CARDIOVASCULAR MEDICATIONS
nebivolol generic,Preferred,CARDIOVASCULAR MEDICATIONS
SOTYLIZE,Non-Preferred,CARDIOVASCULAR MEDICATIONS
timolol tabs generic,Non-Preferred,CARDIOVASCULAR MEDICATIONS
clonidine patch generic,Preferred,CARDIOVASCULAR MEDICATIONS
clonidine 0.17mg er tabs generic,Non-Preferred,CARDIOVASCULAR MEDICATIONS
NEXICLON XR,Preferred,CARDIOVASCULAR MEDICATIONS
benazepril generic,Preferred,CARDIOVASCULAR MEDICATIONS
benazepril HCTZ generic,Preferred,CARDIOVASCULAR MEDICATIONS
captopril generic,Preferred,CARDIOVASCULAR MEDICATIONS
captopril HCTZ generic,Preferred,CARDIOVASCULAR MEDICATIONS
enalapril generic,Preferred,CARDIOVASCULAR MEDICATIONS
enalapril soln. generic,Preferred,CARDIOVASCULAR MEDICATIONS
enalapril HCTZ generic,Preferred,CARDIOVASCULAR MEDICATIONS
enalaprilat generic,Preferred,CARDIOVASCULAR MEDICATIONS
fosinopril generic,Preferred,CARDIOVASCULAR MEDICATIONS
fosinopril HCTZ generic,Preferred,CARDIOVASCULAR MEDICATIONS
lisinopril generic,Preferred,CARDIOVASCULAR MEDICATIONS
lisinopril HCTZ generic,Preferred,CARDIOVASCULAR MEDICATIONS
moexipril generic,Non-Preferred,CARDIOVASCULAR MEDICATIONS
moexipril HCTZ generic,Preferred,CARDIOVASCULAR MEDICATIONS
perindopril generic,Non-Preferred,CARDIOVASCULAR MEDICATIONS
QBRELIS,Non-Preferred,CARDIOVASCULAR MEDICATIONS
quinapril generic,Non-Preferred,CARDIOVASCULAR MEDICATIONS
quinapril HCTZ generic,Non-Preferred,CARDIOVASCULAR MEDICATIONS
ramipril caps generic,Preferred,CARDIOVASCULAR MEDICATIONS
trandolapril generic,Preferred,CARDIOVASCULAR MEDICATIONS
amlodipine/olmesartan,Non-Preferred,CARDIOVASCULAR MEDICATIONS
amlodipine/valsartan generic,Preferred,CARDIOVASCULAR MEDICATIONS
candesartan generic,Preferred,CARDIOVASCULAR MEDICATIONS
candesartan/hctz generic,Preferred,CARDIOVASCULAR MEDICATIONS
EDARBI,Non-Preferred,CARDIOVASCULAR MEDICATIONS
EDARBYCLOR,Non-Preferred,CARDIOVASCULAR MEDICATIONS
ENTRESTO TABS,Preferred,CARDIOVASCULAR MEDICATIONS
EXFORGE HCT,Non-Preferred,CARDIOVASCULAR MEDICATIONS
irbesartan generic,Preferred,CARDIOVASCULAR MEDICATIONS
irbesartan/HCTZ generic,Preferred,CARDIOVASCULAR MEDICATIONS
losartan generic,Preferred,CARDIOVASCULAR MEDICATIONS
losartan/HCTZ generic,Preferred,CARDIOVASCULAR MEDICATIONS
olmesartan generic,Preferred,CARDIOVASCULAR MEDICATIONS
olmesartan/hctz generic,Preferred,CARDIOVASCULAR MEDICATIONS
telmisartan generic,Preferred,CARDIOVASCULAR MEDICATIONS
telmisartan/HCTZ generic,Preferred,CARDIOVASCULAR MEDICATIONS
telmisartan/amlodipine generic,Non-Preferred,CARDIOVASCULAR MEDICATIONS
TRIBENZOR,Non-Preferred,CARDIOVASCULAR MEDICATIONS
TWYNSTA,Non-Preferred,CARDIOVASCULAR MEDICATIONS
valsartan tabs generic,Preferred,CARDIOVASCULAR MEDICATIONS
valsartan soln. generic,Non-Preferred,CARDIOVASCULAR MEDICATIONS
valsartan/hctz generic,Preferred,CARDIOVASCULAR MEDICATIONS
amlodipine/benazepril generic,Preferred,CARDIOVASCULAR MEDICATIONS
chlorthalidone generic,Preferred,CARDIOVASCULAR MEDICATIONS
chlorothiazide 500mg injection generic,Preferred,CARDIOVASCULAR MEDICATIONS
HEMICLOR,Preferred,CARDIOVASCULAR MEDICATIONS
hydrochlorothiazide generic,Preferred,CARDIOVASCULAR MEDICATIONS
phenoxybenzamine generic,Non-Preferred,CARDIOVASCULAR MEDICATIONS
TEKTURNA,Non-Preferred,CARDIOVASCULAR MEDICATIONS
TEKTURNA HCT,Non-Preferred,CARDIOVASCULAR MEDICATIONS
trandolapril/verapamil generic,Preferred,CARDIOVASCULAR MEDICATIONS
VECAMYL,Non-Preferred,CARDIOVASCULAR MEDICATIONS
GONITRO POWDER,Non-Preferred,CARDIOVASCULAR MEDICATIONS
isosorbide generic,Preferred,CARDIOVASCULAR MEDICATIONS
nitroglycerin patches generic,Preferred,CARDIOVASCULAR MEDICATIONS
nitroglycerin lingual spray soln (generic Nitrolingual),Non-Preferred,CARDIOVASCULAR MEDICATIONS
nitroglycerin sublingual tabs generic,Preferred,CARDIOVASCULAR MEDICATIONS
NITROSTAT SL TABS,Preferred,CARDIOVASCULAR MEDICATIONS
amiodarone/pacerone generic,Preferred,CARDIOVASCULAR MEDICATIONS
dofetilide generic,Preferred,CARDIOVASCULAR MEDICATIONS
MULTAQ,Non-Preferred,CARDIOVASCULAR MEDICATIONS
propafenone er generic,Preferred,CARDIOVASCULAR MEDICATIONS
ALTOPREV,Non-Preferred,CARDIOVASCULAR MEDICATIONS
amlodipine/atorvastatin generic,Non-Preferred,CARDIOVASCULAR MEDICATIONS
ATORVALIQ,Non-Preferred,CARDIOVASCULAR MEDICATIONS
atorvastatin generic,Preferred,CARDIOVASCULAR MEDICATIONS
COLESTID,Non-Preferred,CARDIOVASCULAR MEDICATIONS
colestipol generic,Non-Preferred,CARDIOVASCULAR MEDICATIONS
cholestyramine/cholestyramine lite packets generic,Non-Preferred,CARDIOVASCULAR MEDICATIONS
cholestyramine/cholestyramine lite powder generic,Preferred,CARDIOVASCULAR MEDICATIONS
EZALLOR SPRINKLE,Non-Preferred,CARDIOVASCULAR MEDICATIONS
ezetimibe generic,Preferred,CARDIOVASCULAR MEDICATIONS
ezetimibe-simvastatin generic (except 10-80mg),Preferred,CARDIOVASCULAR MEDICATIONS
ezetimibe-simvastatin 10-80mg generic,Preferred,CARDIOVASCULAR MEDICATIONS
FLOLIPID,Non-Preferred,CARDIOVASCULAR MEDICATIONS
fluvastatin generic,Non-Preferred,CARDIOVASCULAR MEDICATIONS
fluvastatin er generic,Non-Preferred,CARDIOVASCULAR MEDICATIONS
icosapent generic,Non-Preferred,CARDIOVASCULAR MEDICATIONS
JUXTAPID,Non-Preferred,CARDIOVASCULAR MEDICATIONS
LIVALO,Non-Preferred,CARDIOVASCULAR MEDICATIONS
lovastatin generic,Preferred,CARDIOVASCULAR MEDICATIONS
NEXLETOL,Non-Preferred,CARDIOVASCULAR MEDICATIONS
NEXLIZET,Non-Preferred,CARDIOVASCULAR MEDICATIONS
niacin er generic,Preferred,CARDIOVASCULAR MEDICATIONS
omega-3-acid generic,Preferred,CARDIOVASCULAR MEDICATIONS
PRALUENT,Non-Preferred,CARDIOVASCULAR MEDICATIONS
pravastatin generic,Preferred,CARDIOVASCULAR MEDICATIONS
PREVALITE PACKETS,Non-Preferred,CARDIOVASCULAR MEDICATIONS
PREVALITE POWDER,Preferred,CARDIOVASCULAR MEDICATIONS
REPATHA,Non-Preferred,CARDIOVASCULAR MEDICATIONS
REPATHA PUSH INJ.,Non-Preferred,CARDIOVASCULAR MEDICATIONS
rosuvastatin generic,Preferred,CARDIOVASCULAR MEDICATIONS
SAXENDA,Non-Preferred,CARDIOVASCULAR MEDICATIONS
"simvastatin 5mg, 10mg, 20mg, 40mg generic",Preferred,CARDIOVASCULAR MEDICATIONS
simvastatin 80mg generic,Preferred,CARDIOVASCULAR MEDICATIONS
WELCHOL,Non-Preferred,CARDIOVASCULAR MEDICATIONS
XENICAL (covered 12 - 17 yrs old),Preferred,CARDIOVASCULAR MEDICATIONS
ZYPITAMAG,Non-Preferred,CARDIOVASCULAR MEDICATIONS
ANTARA,Non-Preferred,CARDIOVASCULAR MEDICATIONS
"fenofibrate caps 43mg, 130mg (generic Antara)",Non-Preferred,CARDIOVASCULAR MEDICATIONS
"fenofibrate caps 67mg, 134mg, 200mg (generic 
Lofibra)",Preferred,CARDIOVASCULAR MEDICATIONS
fenofibrate tabs generic,Preferred,CARDIOVASCULAR MEDICATIONS
fenofibrate tab (generic Fenoglide),Non-Preferred,CARDIOVASCULAR MEDICATIONS
fenofibric acid caps (generic Trilipix),Preferred,CARDIOVASCULAR MEDICATIONS
fenofibric acid tabs generic,Non-Preferred,CARDIOVASCULAR MEDICATIONS
FENOGLIDE,Non-Preferred,CARDIOVASCULAR MEDICATIONS
gemfibrozil generic,Preferred,CARDIOVASCULAR MEDICATIONS
TRIGLIDE,Non-Preferred,CARDIOVASCULAR MEDICATIONS
ASPRUZYO,Non-Preferred,CARDIOVASCULAR MEDICATIONS
BIDIL,Non-Preferred,CARDIOVASCULAR MEDICATIONS
bumetanide generic,Preferred,CARDIOVASCULAR MEDICATIONS
CAMZYOS,Non-Preferred,CARDIOVASCULAR MEDICATIONS
CAROSPIR,Non-Preferred,CARDIOVASCULAR MEDICATIONS
CORLANOR,Non-Preferred,CARDIOVASCULAR MEDICATIONS
droxidopa generic,Non-Preferred,CARDIOVASCULAR MEDICATIONS
eplerenone generic,Non-Preferred,CARDIOVASCULAR MEDICATIONS
ethacrynic acid generic,Non-Preferred,CARDIOVASCULAR MEDICATIONS
INPEFA,Non-Preferred,CARDIOVASCULAR MEDICATIONS
midodrine generic,Preferred,CARDIOVASCULAR MEDICATIONS
milrinone generic,Preferred,CARDIOVASCULAR MEDICATIONS
PROAMATINE,Preferred,CARDIOVASCULAR MEDICATIONS
ranolazine generic,Preferred,CARDIOVASCULAR MEDICATIONS
spironolactone tabs generic,Preferred,CARDIOVASCULAR MEDICATIONS
triamterene generic,Non-Preferred,CARDIOVASCULAR MEDICATIONS
TRYNGOLZA,Non-Preferred,CARDIOVASCULAR MEDICATIONS
VERQUVO,Non-Preferred,CARDIOVASCULAR MEDICATIONS
VYNDAMAX,Preferred,CARDIOVASCULAR MEDICATIONS
VYNDAQEL,Preferred,CARDIOVASCULAR MEDICATIONS
ADEMPAS,Non-Preferred,CARDIOVASCULAR MEDICATIONS
ambrisentan generic,Preferred,CARDIOVASCULAR MEDICATIONS
epoprostenol inj. (Teva generic for Flolan),Preferred,CARDIOVASCULAR MEDICATIONS
epoprostenol inj. (Sun generic for Veletri),Non-Preferred,CARDIOVASCULAR MEDICATIONS
FLOLAN,Non-Preferred,CARDIOVASCULAR MEDICATIONS
OPSUMIT,Non-Preferred,CARDIOVASCULAR MEDICATIONS
ORENITRAM,Non-Preferred,CARDIOVASCULAR MEDICATIONS
ORENITRAM TITRATION PAK,Non-Preferred,CARDIOVASCULAR MEDICATIONS
REMODULIN,Non-Preferred,CARDIOVASCULAR MEDICATIONS
sildenafil suspension generic,Non-Preferred,CARDIOVASCULAR MEDICATIONS
sildenafil tabs generic,Preferred,CARDIOVASCULAR MEDICATIONS
tadalafil (generic Adcirca),Preferred,CARDIOVASCULAR MEDICATIONS
TADLIQ,Non-Preferred,CARDIOVASCULAR MEDICATIONS
TRACLEER,Preferred,CARDIOVASCULAR MEDICATIONS
TRACLEER 32mg TAB FOR ORAL SUSP,Non-Preferred,CARDIOVASCULAR MEDICATIONS
"TYVASO, -DPI",Non-Preferred,CARDIOVASCULAR MEDICATIONS
UPTRAVI,Non-Preferred,CARDIOVASCULAR MEDICATIONS
VENTAVIS,Preferred,CARDIOVASCULAR MEDICATIONS
WINREVAIR,Non-Preferred,CARDIOVASCULAR MEDICATIONS
metyrosine caps generic,Preferred,CARDIOVASCULAR MEDICATIONS
BELBUCA,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
benzhydrocodone/acetaminophen,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
butalbital/acetaminophen 300mg/caffeine/codeine generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
butalbital/acetaminophen 325mg/caffeine/codeine generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
butalbital/aspirin/caffeine/codeine cap generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
butorphanol nasal generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
BUTRANS,Preferred,AUTONOMIC AND CNS MEDICATIONS
codeine tab generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
"dihydrocodeine compound cap 
(acetaminophen/caffeine/dihydrocodeine) generic",Preferred,AUTONOMIC AND CNS MEDICATIONS
"dihydrocodeine compound tab 
(acetaminophen/caffeine/dihydrocodeine) generic",Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
DILAUDID 1mg/ml,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
fentanyl citrate generic (generic Actiq),Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
"fentanyl patch generic (generic Duragesic)-12-, 25-, 
50-, 75-, 100 mcg/hr",Preferred,AUTONOMIC AND CNS MEDICATIONS
"fentanyl patch generic (generic Duragesic)- 37.5-, 
62.5-, 87.5 mcg/hr",Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
FENTORA,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
HYCET,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
"hydrocodone-APAP 7.5mg/325mg/15mL soln. 
generic",Preferred,AUTONOMIC AND CNS MEDICATIONS
"hydrocodone-APAP 10mg/325mg/15mL soln. 
generic",Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
"hydrocodone-APAP 5-300mg, 10-300mg, 7.5-300mg tab generic",Preferred,AUTONOMIC AND CNS MEDICATIONS
"hydrocodone/ibuprofen 2.5-200mg, 5-200mg, 10-
200mg generic",Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
hydrocodone/ibuprofen 7.5-200mg generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
hydromorphone er tabs generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
hydromorphone ir tabs generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
hydromorphone suppositories generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
HYSINGLA ER,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
IBUDONE,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
LAZANDA,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
levorphanol generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
LORTAB ELIXIR,Preferred,AUTONOMIC AND CNS MEDICATIONS
meperidine solution generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
meperidine tabs generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
morphine ir generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
morphine sulfate sa caps (generic Kadian),Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
morphine sulfate er caps (generic Avinza),Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
morphine sulfate sa tabs generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
morphine sulfate suppositories generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
NALOCET,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
OXAYDO,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
oxycodone concentrate generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
oxycodone ir generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
oxycodone/apap tabs generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
oxycodone/aspirin tabs generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
oxycodone/ibuprofen 5/400mg generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
oxymorphone/er generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
OXYCONTIN,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
pentazocine/naloxone tabs generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
PRIMLEV,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
PROLATE SOLN.,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
ROXYBOND,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
SUBSYS,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
ZOHYDRO ER,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
BUPAP (butalbital-acetaminophen tabs 50-300mg),Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
butalbital-acetaminophen tabs 50-325mg generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
butalbital-acetaminophen caps 50-300mg generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
butalbital-acetaminophen-caffeine capsule generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
butalbital-acetaminophen-caffeine tabs generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
butalbital-aspirin-caffeine capsule,Preferred,AUTONOMIC AND CNS MEDICATIONS
CONZIP,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
GRALISE,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
JOURNAVX,Preferred,AUTONOMIC AND CNS MEDICATIONS
"lidocaine cream, lotion 3% generic",Preferred,AUTONOMIC AND CNS MEDICATIONS
"lidocaine gel 2%, jelly 2%, soln. 4% generic",Preferred,AUTONOMIC AND CNS MEDICATIONS
lidocaine ointment 5% generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
lidocaine pad/patch 5% generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
SAVELLA,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
SEGLENTIS,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
tramadol generic (except 100mg tab),Preferred,AUTONOMIC AND CNS MEDICATIONS
tramadol/acetaminophen generic,Preferred,AUTONOMIC AND CNS MEDICATIONS
"tramadol er (generic Conzip, Ryzolt)",Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
tramadol er (generic Ultram ER),Preferred,AUTONOMIC AND CNS MEDICATIONS
ZEBUTAL,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
ZTLIDO,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
AIMOVIG,Preferred,AUTONOMIC AND CNS MEDICATIONS
AJOVY,Preferred,AUTONOMIC AND CNS MEDICATIONS
almotriptan generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
diclofenac potassium  powder packets generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
dihydroergotamine spray generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
eletriptan generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
ELYXYB,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
EMGALITY 100mg/ml,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
EMGALITY 120mg/ml,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
FROVA,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
MIGERGOT,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
naratriptan generic,Non-Preferred,AUTONOMIC AND CNS MEDICATIONS
