therapeutic_class,capsule_name,pdl_name,Unnamed: 3
CARDIOVASCULAR AGENTS : MISC,Camzyos,CAMZYOS Capsule,
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ANGIOTENSIN II RECEPTOR BLOCKERS,Candesartan,CANDESARTAN CILEXETIL Tablet,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : MISC,Caplyta,CAPLYTA Capsule,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS,Caprelsa,CAPRELSA Tablet,
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITORS,Captopril,CAPTOPRIL Tablet,
AGENTS FOR SICKLE CELL DISEASE,Casgevy intravenous suspension,CASGEVY Suspension,
ANTIBIOTICS : ANTI-INFECTIVE AGENTS,Cayston,CAYSTON Solution Reconstituted,
GLUCOSE MONITORING SUPPLIES : INJECTION DEVICE FOR INSULIN,CeQur Simplicity,CEQUR SIMPLICITY 2U Device,
OPHTHALMIC AGENTS : MISC,Cequa,CEQUA Solution,
GASTROINTESTINAL AGENTS : MISC,Chenodal tablet,CHENODAL Tablet,
GASTROINTESTINAL AGENTS : MISC,Cholbam capsule,CHOLBAM Capsule,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : MONOCLONAL ANTIBODIES,Cibinqo Atopic Dermatitis (adult),CIBINQO Tablet,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : MONOCLONAL ANTIBODIES,Cibinqo Atopic Dermatitis (pediatric),CIBINQO Tablet,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,"Cimzia Ankylosing Spondylitis, prefilled syringe",CIMZIA Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,"Cimzia Ankylosing Spondylitis, subcutaneous vial",CIMZIA Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,"Cimzia Crohn’s Disease (adult), prefilled syringe",CIMZIA Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,"Cimzia Crohn’s Disease (adult), subcutaneous vial",CIMZIA Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,"Cimzia Non-Radiographic Axial Spondyloarthritis, prefilled syringe",CIMZIA Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,"Cimzia Non-Radiographic Axial Spondyloarthritis, subcutaneous vial",CIMZIA Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,"Cimzia Plaque Psoriasis (adult), prefilled syringe",CIMZIA Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,"Cimzia Plaque Psoriasis (adult), subcutaneous vial",CIMZIA Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,"Cimzia Psoriatic Arthritis (adult), subcutaneous vial",CIMZIA Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,"Cimzia Rheumatoid Arthritis, subcutaneous vial",CIMZIA Prefilled Syringe Kit,
VAGINAL PRODUCTS,Cleocin 2% cream,CLEOCIN Cream,
VAGINAL PRODUCTS,Cleocin Ovules / vaginal suppository,CLEOCIN Suppository,
VAGINAL PRODUCTS,Cleocin ovules / vaginal suppository,CLEOCIN Suppository,
VAGINAL PRODUCTS,Clindamycin 2% Cream,CLINDAMYCIN PHOSPHATE Cream,
VAGINAL PRODUCTS,Clindesse 2% prefilled applicator cream,CLINDESSE Cream,
ANTICONVULSANTS,Clobazam oral suspension,CLOBAZAM Suspension,
ANTICONVULSANTS,Clobazam tablet,CLOBAZAM Tablet,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : DIBENZAPINES,Clozapine ODT,CLOZAPINE ODT Tablet Disintegrating,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : DIBENZAPINES,Clozapine tablet,CLOZAPINE Tablet,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : DIBENZAPINES,Clozaril,CLOZARIL Tablet,
OPHTHALMIC AGENTS : BETA-BLOCKERS - OPHTHALMIC,Combigan,COMBIGAN Solution,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : ADRENERGIC COMBINATIONS,Combivent Respimat inhalation aerosol solution,"COMBIVENT RESPIMAT Aerosol, Solution",
ANTIVIRALS : ANTIRETROVIRALS (HIV),Complera,COMPLERA Tablet,
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,Concerta ER,CONCERTA Tablet Extended-Release,
GLUCOSE MONITORING SUPPLIES : DEVICES AND KITS,Contour,CONTOUR BLOOD GLUCOSE MONITORING SYSTEM Device,
GLUCOSE MONITORING SUPPLIES : DEVICES AND KITS,Contour Next Next Gen,CONTOUR NEXT GEN BLOOD GLUCOSE MONITORING SYSTEM Device,
GLUCOSE MONITORING SUPPLIES : TEST STRIPS,Contour Next Test In Vitro Strips 100 ct,CONTOUR NEXT BLOOD GLUCOSE TEST Strip,
GLUCOSE MONITORING SUPPLIES : TEST STRIPS,Contour Next Test In Vitro Strips 25 ct,CONTOUR NEXT BLOOD GLUCOSE TEST Strip,
GLUCOSE MONITORING SUPPLIES : TEST STRIPS,Contour Next Test In Vitro Strips 50 ct,CONTOUR NEXT BLOOD GLUCOSE TEST Strip,
GLUCOSE MONITORING SUPPLIES : TEST STRIPS,Contour Plus Test In Vitro Strips 50 ct,CONTOUR PLUS BLOOD GLUCOSE TEST STRIPS Strip,
GLUCOSE MONITORING SUPPLIES : TEST STRIPS,Contour Test In Vitro Strips 100 ct,CONTOUR BLOOD GLUCOSE TEST STRIPS Strip,
GLUCOSE MONITORING SUPPLIES : TEST STRIPS,Contour Test In Vitro Strips 25 ct,CONTOUR BLOOD GLUCOSE TEST STRIPS Strip,
GLUCOSE MONITORING SUPPLIES : TEST STRIPS,Contour Test In Vitro Strips 50 ct,CONTOUR BLOOD GLUCOSE TEST STRIPS Strip,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : MULTIPLE SCLEROSIS AGENTS,Copaxone 20 mg,COPAXONE Solution Prefilled Syringe,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : MULTIPLE SCLEROSIS AGENTS,Copaxone 40 mg,COPAXONE Solution Prefilled Syringe,
DERMATOLOGICALS : ANTIPSORIATICS,Cosentyx Ankylosing Spondylitis,COSENTYX Solution Prefilled Syringe,
DERMATOLOGICALS : ANTIPSORIATICS,Cosentyx Enthesitis-Related Arthritis (pediatric),COSENTYX Solution Prefilled Syringe,
DERMATOLOGICALS : ANTIPSORIATICS,Cosentyx Hidradenitis Suppurativa,COSENTYX Solution Prefilled Syringe,
DERMATOLOGICALS : ANTIPSORIATICS,Cosentyx Non-Radiographic Axial Spondyloarthritis,COSENTYX Solution Prefilled Syringe,
DERMATOLOGICALS : ANTIPSORIATICS,Cosentyx Plaque Psoriasis (adult),COSENTYX Solution Prefilled Syringe,
DERMATOLOGICALS : ANTIPSORIATICS,Cosentyx Plaque Psoriasis (pediatric),COSENTYX Solution Prefilled Syringe,
DERMATOLOGICALS : ANTIPSORIATICS,Cosentyx Psoriatic Arthritis (adult),COSENTYX Solution Prefilled Syringe,
DERMATOLOGICALS : ANTIPSORIATICS,Cosentyx Psoriatic Arthritis (pediatric),COSENTYX Solution Prefilled Syringe,
DIGESTIVE ENZYMES,Creon,CREON Capsule Delayed Release Particles,
OPHTHALMIC AGENTS : MISC,Cyclosporine ophthalmic emulsion,CYCLOSPORINE Emulsion,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Cyltezo Ankylosing Spondylitis,CYLTEZO Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Cyltezo Crohn’s Disease (adult),CYLTEZO Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Cyltezo Crohn’s Disease (pediatric),CYLTEZO Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Cyltezo Hidradenitis Suppurativa,CYLTEZO Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Cyltezo Plaque Psoriasis (adult),CYLTEZO Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Cyltezo Polyarticular Juvenile Idiopathic Arthritis (PJIA),CYLTEZO Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Cyltezo Psoriatic Arthritis (adult),CYLTEZO Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Cyltezo Rheumatoid Arthritis,CYLTEZO Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Cyltezo Ulcerative Colitis (adult),CYLTEZO Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Cyltezo Uveitis (adult),CYLTEZO Prefilled Syringe Kit,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : MISC,Daliresp,DALIRESP Tablet,
MUSCULOSKELETAL THERAPY AGENTS,Dantrium,DANTRIUM Capsule,
ANTIDIABETICS : SODIUM-GLUCOSE CO-TRANSPORTER 2 (SGLT2) INHIBITORS,Dapagliflozin,DAPAGLIFLOZIN PROPANEDIOL Tablet,
NEUROMUSCULAR AGENTS,Daybue oral solution,DAYBUE Solution,
ANTICONVULSANTS,Depakote,DEPAKOTE Tablet Delayed Release,
ANTIVIRALS : ANTIRETROVIRALS (HIV),Descovy,DESCOVY Tablet,
GLUCOSE MONITORING SUPPLIES : CGMs,DexCom G6 Receiver,DEXCOM G6 RECEIVER Device,
GLUCOSE MONITORING SUPPLIES : CGMs,DexCom G6 Sensor,DEXCOM G6 SENSOR Miscellaneous,
GLUCOSE MONITORING SUPPLIES : CGMs,DexCom G7 Receiver,DEXCOM G7 RECEIVER Device,
GLUCOSE MONITORING SUPPLIES : CGMs,DexCom G7 Sensor,DEXCOM G7 SENSOR Miscellaneous,
GLUCOSE MONITORING SUPPLIES : CGMs,Dexcom G4,DEXCOM G4 PLATINUM RECEIVER KIT Device,
GLUCOSE MONITORING SUPPLIES : CGMs,Dexcom G5,DEXCOM G6 RECEIVER Device,
GLUCOSE MONITORING SUPPLIES : CGMs,Dexcom G6 Transmitter,DEXCOM G6 TRANSMITTER Miscellaneous,
 ,Diacomit capsule,DIACOMIT Capsule,
ANTICONVULSANTS,Diacomit packet for oral suspension,DIACOMIT Packet,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : MULTIPLE SCLEROSIS AGENTS,Dimethyl Fumarate,DIMETHYL FUMARATE Capsule Delayed Release,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : ANTIDEMENTIA AGENTS,Donepezil ODT,DONEPEZIL HYDROCHLORIDE ODT Tablet Disintegrating,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : ANTIDEMENTIA AGENTS,Donepezil tablet,DONEPEZIL HYDROCHLORIDE Tablet,
HEMATOPOIETIC AGENTS : HEMATOPOIETIC GROWTH FACTORS,Doptelet,DOPTELET Tablet,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : ADRENERGIC COMBINATIONS,Duaklir Pressair,"DUAKLIR PRESSAIR Aerosol Powder, Breath Activated",
ESTROGENS,Duavee tablet,DUAVEE Tablet,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : ADRENERGIC COMBINATIONS,Dulera,DULERA Aerosol,
ANTIDEPRESSANTS : SELECTIVE SEROTONIN-NOREPINEPHRINE REUPTAKE INHIBITOR (SNRIs),Duloxetine,DULOXETINE HCL Capsule Delayed Release Particles,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : MONOCLONAL ANTIBODIES,Dupixent Atopic Dermatitis (adult),DUPIXENT Solution Prefilled Syringe,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : MONOCLONAL ANTIBODIES,Dupixent Atopic Dermatitis (pediatric),DUPIXENT Solution Prefilled Syringe,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : MONOCLONAL ANTIBODIES,Dupixent Chronic Obstructive Pulmonary Disease (COPD),DUPIXENT Solution Prefilled Syringe,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : MONOCLONAL ANTIBODIES,Dupixent Chronic Rhinosinusitis with Nasal Polyposis,DUPIXENT Solution Prefilled Syringe,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : MONOCLONAL ANTIBODIES,Dupixent Chronic obstructive pulmonary disease (COPD),DUPIXENT Solution Prefilled Syringe,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : MONOCLONAL ANTIBODIES,Dupixent Eosinophilic Esophagitis,DUPIXENT Solution Prefilled Syringe,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : MONOCLONAL ANTIBODIES,Dupixent Prurigo Nodularis,DUPIXENT Solution Prefilled Syringe,
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,Dyanavel XR oral suspension,DYANAVEL XR Suspension Extended Release,
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,Dyanavel XR tablet,DYANAVEL XR Tablet Extended-Release,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : MONOCLONAL ANTIBODIES,Ebglyss Atopic Dermatitis (adult),EBGLYSS Solution Prefilled Syringe,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : MONOCLONAL ANTIBODIES,Ebglyss Atopic Dermatitis (pediatric),EBGLYSS Solution Prefilled Syringe,
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ANGIOTENSIN II RECEPTOR BLOCKERS,Edarbi,EDARBI Tablet,
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ANGIOTENSIN II RECEPTOR BLOCKER COMBINATIONS,Edarbyclor,EDARBYCLOR Tablet,
ANTIVIRALS : ANTIRETROVIRALS (HIV),Edurant,EDURANT Tablet,
ANTICOAGULANTS : DIRECT FACTOR XA INHIBITORS & MISC,Eliquis,ELIQUIS Tablet,
HEMATOLOGICAL AGENTS : ANTIHEMOPHILIC PRODUCTS,Eloctate,ELOCTATE Solution Reconstituted,
CONTRACEPTIVES : COMBINATION CONTRACEPTIVES,Eluryng,ELURYNG Ring,
CORTICOSTEROIDS,Emflaza oral suspension,EMFLAZA Suspension,
CORTICOSTEROIDS,Emflaza tablet,EMFLAZA Tablet,
MIGRAINE PRODUCTS : CALCITONIN GENE-RELATED PEPTIDE (CGRP) RECEPTOR ANTAG,Emgality 100 mg,EMGALITY Solution Prefilled Syringe,
MIGRAINE PRODUCTS : CALCITONIN GENE-RELATED PEPTIDE (CGRP) RECEPTOR ANTAG,Emgality 120 mg,EMGALITY Solution Prefilled Syringe,
HEMATOLOGICAL AGENTS : MISC,Empaveli,EMPAVELI Solution,
ANTIVIRALS : ANTIRETROVIRALS (HIV),Emtriva capsule,EMTRIVA Capsule,
ANTIVIRALS : ANTIRETROVIRALS (HIV),Emtriva oral solution,EMTRIVA Solution,
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITOR COMBINATIONS,Enalapril,ENALAPRIL MALEATE/HYDROCHLOROTHIAZIDE Tablet,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Enbrel Ankylosing Spondylitis,ENBREL Solution,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Enbrel Plaque Psoriasis (adult),ENBREL Solution,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Enbrel Plaque Psoriasis (pediatric),ENBREL Solution,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Enbrel Polyarticular Juvenile Idiopathic Arthritis (PJIA),ENBREL Solution,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Enbrel Psoriatic Arthritis (adult),ENBREL Solution,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Enbrel Psoriatic Arthritis (pediatric),ENBREL Solution,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Enbrel Rheumatoid Arthritis,ENBREL Solution,
AGENTS FOR SICKLE CELL DISEASE,Endari,ENDARI Packet,
HEMATOLOGICAL AGENTS : MISC,Enjaymo,ENJAYMO Solution,
ANTIVIRALS : HEPATITIS B AGENTS,Entecavir,ENTECAVIR Tablet,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Entyvio Crohn’s Disease (adult),ENTYVIO Solution Reconstituted,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Entyvio Ulcerative Colitis (adult),ENTYVIO Solution Reconstituted,
IMMUNOSUPPRESSIVE AGENTS,Envarsus XR,ENVARSUS XR Tablet Extended Release 24 HR*,
CORTICOSTEROIDS,Eohilia oral suspension,EOHILIA Suspension,
ANTIVIRALS : HEPATITIS C AGENTS,Epclusa,EPCLUSA Tablet,
ANTICONVULSANTS,Epidiolex,EPIDIOLEX Solution,
ANAPHYLAXIS THERAPY AGENTS,Epinephrine (Generic Adrenaclick) 0.15mg,EPINEPHRINE Solution Auto-injector,
ANAPHYLAXIS THERAPY AGENTS,Epinephrine (Generic Adrenaclick) 0.3mg,EPINEPHRINE Solution Auto-injector,
ANAPHYLAXIS THERAPY AGENTS,Epinephrine (Mylan Ag Epipen And Jr) 0.15mg Mylan's EpiPen Jr AG,EPINEPHRINE Solution Auto-injector,
ANAPHYLAXIS THERAPY AGENTS,Epinephrine (Mylan Ag Epipen And Jr) 0.3mg Mylan's EpiPen AG,EPINEPHRINE Solution Auto-injector,
ANAPHYLAXIS THERAPY AGENTS,Epipen 2-PAK,EPIPEN 2-PAK Solution Auto-injector,
ANTIVIRALS : ANTIRETROVIRALS (HIV),Epivir,EPIVIR Tablet,
HEMATOPOIETIC AGENTS : HEMATOPOIETIC GROWTH FACTORS,Epogen,EPOGEN Solution,
ANTICONVULSANTS,Eprontia,EPRONTIA Solution,
ANTIVIRALS : ANTIRETROVIRALS (HIV),Epzicom,EPZICOM Tablet,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : MISC,Equetro,EQUETRO Capsule Extended Release 12 Hour,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC - HORMONAL AND RELATED AGENTS,Erleada,ERLEADA Tablet,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS,Erlotinib,ERLOTINIB HYDROCHLORIDE Tablet,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : BENZISOXAZOLES,Erzofri prefilled syringe,ERZOFRI Suspension Prefilled Syringe,
RESPIRATORY AGENTS : MISC,Esbriet,ESBRIET Tablet,
ULCER DRUGS / ANTISPASMODICS / ANTICHOLINERGICS : PROTON PUMP INHIBITORS,Esomeprazole,ESOMEPRAZOLE MAGNESIUM Capsule Delayed Release,
HEMATOLOGICAL AGENTS : ANTIHEMOPHILIC PRODUCTS,Esperoct,ESPEROCT Solution Reconstituted,
CONTRACEPTIVES : COMBINATION CONTRACEPTIVES,Etonogestrel / Ethinyl Estradiol,ETONOGESTREL/ETHINYL ESTRADIOL Ring,
DERMATOLOGICALS : MISC,Eucrisa,EUCRISA Ointment,
GLUCOSE MONITORING SUPPLIES : CGMs,Eversense,EVERSENSE SENSOR/HOLDER Miscellaneous,
ANTIVIRALS : ANTIRETROVIRALS (HIV),Evotaz,EVOTAZ Tablet,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : ANTIDEMENTIA AGENTS,Exelon,EXELON Patch 24 HR,
OPHTHALMIC AGENTS : OPHTHALMIC STEROIDS,Eysuvis ophthalmic suspension,EYSUVIS Suspension,
HEMATOLOGICAL AGENTS : MISC,Fabhalta,FABHALTA Capsule,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : BENZISOXAZOLES,Fanapt,FANAPT Tablet,
ANTIDIABETICS : SODIUM-GLUCOSE CO-TRANSPORTER 2 (SGLT2) INHIBITORS,Farxiga,FARXIGA Tablet,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : MONOCLONAL ANTIBODIES,Fasenra Eosinophilic Granulomatosis with Polyangitis (EGPA),FASENRA Solution Prefilled Syringe,
ANTICONVULSANTS,Felbatol oral suspension,FELBATOL Suspension,
ANTICONVULSANTS,Felbatol tablet,FELBATOL Tablet,
CONTRACEPTIVES : COMBINATION CONTRACEPTIVES,Femlyv,FEMLYV Tablet Disintegrating,
ANTIDEPRESSANTS : SELECTIVE SEROTONIN-NOREPINEPHRINE REUPTAKE INHIBITOR (SNRIs),Fetzima,FETZIMA Capsule Extended Release 24 Hour,
MUSCULOSKELETAL THERAPY AGENTS,Fexmid,FEXMID Tablet,
ANTIDIABETICS : INSULIN,Fiasp,FIASP Solution,
ANTIDIABETICS : INSULIN,Fiasp FlexTouch,FIASP FLEXTOUCH Solution Pen-injector,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : MULTIPLE SCLEROSIS AGENTS,Fingolimod capsule,FINGOLIMOD HYDROCHLORIDE Capsule,
ANTICONVULSANTS,Fintepla,FINTEPLA Solution,
OPHTHALMIC AGENTS : OPHTHALMIC STEROIDS,Flarex ophthalmic suspension,FLAREX Suspension,
MUSCULOSKELETAL THERAPY AGENTS,Fleqsuvy,FLEQSUVY Suspension,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : STEROID INHALANTS,Flovent Diskus,"FLOVENT DISKUS Aerosol Powder, Breath Activated",
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : STEROID INHALANTS,Flovent HFA,FLOVENT HFA Aerosol,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : ADRENERGIC COMBINATIONS,Fluticasone / Salmeterol generic Advair Diskus,"FLUTICASONE PROPIONATE/SALMETEROL DISKUS Aerosol Powder, Breath Activated",
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : ADRENERGIC COMBINATIONS,Fluticasone / Salmeterol generic Advair HFA,FLUTICASONE PROPIONATE/SALMETEROL HFA Aerosol,
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITORS,Fosinopril,FOSINOPRIL SODIUM Tablet,
GLUCOSE MONITORING SUPPLIES : TEST STRIPS,FreeStyle InsuLinx Test Strips 100 ct,FREESTYLE INSULINX BLOODGLUCOSE TEST STRIPS Strip,
GLUCOSE MONITORING SUPPLIES : TEST STRIPS,FreeStyle InsuLinx Test Strips 50 ct,FREESTYLE INSULINX BLOODGLUCOSE TEST STRIPS Strip,
GLUCOSE MONITORING SUPPLIES : CGMs,FreeStyle Libre 14 Day Reader,FREESTYLE LIBRE 14 DAY/READER/FLASH MONITORING SYSTEM Device,
GLUCOSE MONITORING SUPPLIES : CGMs,FreeStyle Libre 14 Day Sensor Kit,FREESTYLE LIBRE 14 DAY/SENSOR/FLASH MONITORING SYSTEM Miscellaneous,
GLUCOSE MONITORING SUPPLIES : CGMs,FreeStyle Libre 2 Reader,FREESTYLE LIBRE 2/READER/FLASH GLUCOSE MONITORING SYSTEM Device,
GLUCOSE MONITORING SUPPLIES : CGMs,FreeStyle Libre 2 Sensor,FREESTYLE LIBRE 2/SENSOR/FLASH GLUCOSE MONITORING SYSTEM Miscellaneous,
GLUCOSE MONITORING SUPPLIES : CGMs,FreeStyle Libre 3 Sensor,FREESTYLE LIBRE 3/SENSOR/GLUCOSE MONITORING SYSTEM Miscellaneous,
GLUCOSE MONITORING SUPPLIES : DEVICES AND KITS,FreeStyle Lite Test Strips 100 ct,FREESTYLE LITE BLOOD GLUCOSE MONITORING SYSTEM Kit,
GLUCOSE MONITORING SUPPLIES : DEVICES AND KITS,FreeStyle Lite Test Strips 50 ct,FREESTYLE LITE BLOOD GLUCOSE MONITORING SYSTEM Kit,
GLUCOSE MONITORING SUPPLIES : DEVICES AND KITS,FreeStyle Precision Neo Strips 25 ct,FREESTYLE PRECISION NEO BLOOD GLUCOSE MONITORING SYSTEM Kit,
GLUCOSE MONITORING SUPPLIES : DEVICES AND KITS,FreeStyle Precision Neo Strips 50 ct,FREESTYLE PRECISION NEO BLOOD GLUCOSE MONITORING SYSTEM Kit,
GLUCOSE MONITORING SUPPLIES : TEST STRIPS,FreeStyle Test Strips 100 ct,FREESTYLE TEST STRIPS Strip,
GLUCOSE MONITORING SUPPLIES : TEST STRIPS,FreeStyle Test Strips 50 ct,FREESTYLE TEST STRIPS Strip,
GLUCOSE MONITORING SUPPLIES : DEVICES AND KITS,Freestyle Freedom Lite Meter,FREESTYLE FREEDOM LITE Kit,
GLUCOSE MONITORING SUPPLIES : DEVICES AND KITS,Freestyle Insulinx Glucose System,FREESTYLE INSULINX BLOODGLUCOSE MONITORING SYSTEM Kit,
GLUCOSE MONITORING SUPPLIES : CGMs,Freestyle Libre,FREESTYLE LIBRE/READER/FLASH MONITORING SYSTEM Device,
GLUCOSE MONITORING SUPPLIES : CGMs,Freestyle Libre 14-Day,FREESTYLE LIBRE 14 DAY/READER/FLASH MONITORING SYSTEM Device,
GLUCOSE MONITORING SUPPLIES : CGMs,Freestyle Libre 2,FREESTYLE LIBRE 2/SENSOR/FLASH GLUCOSE MONITORING SYSTEM Miscellaneous,
GLUCOSE MONITORING SUPPLIES : CGMs,Freestyle Libre 2 Plus,FREESTYLE LIBRE 2 PLUS/SENSOR/FLASH GLUCOSE MONITOR SYSTEM Miscellaneous,
GLUCOSE MONITORING SUPPLIES : CGMs,Freestyle Libre 3 Plus,FREESTYLE LIBRE 3 PLUS/SENSOR/GLUCOSE MONITORING SYSTEM Miscellaneous,
GLUCOSE MONITORING SUPPLIES : CGMs,Freestyle Libre 3 Reader,FREESTYLE LIBRE 3/READER/GLUCOSE MONITORING SYSTEM Device,
GLUCOSE MONITORING SUPPLIES : DEVICES AND KITS,Freestyle Lite Meter,FREESTYLE LITE BLOOD GLUCOSE MONITORING SYSTEM Kit,
GLUCOSE MONITORING SUPPLIES : DEVICES AND KITS,Freestyle Precision Neo Meter,FREESTYLE PRECISION NEO BLOOD GLUCOSE MONITORING SYSTEM Kit,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS,Fruzaqla,FRUZAQLA Capsule,
HEMATOPOIETIC AGENTS : HEMATOPOIETIC GROWTH FACTORS,Fulphila,FULPHILA Solution Prefilled Syringe,
ANTIVIRALS : ANTIRETROVIRALS (HIV),Fuzeon,FUZEON Solution Reconstituted,
HEMATOPOIETIC AGENTS : HEMATOPOIETIC GROWTH FACTORS,Fylnetra,FYLNETRA Solution Prefilled Syringe,
