ST,Class
FL,ANTIDIURETIC AND VASOPRESSOR HORMONES
FL,THYROID HORMONES
FL,ANTITHYROID PREPARATIONS
FL,HYPERPARATHYROID TX AGENTS - VITAMIN D ANALOG-TYPE
FL,BONE RESORPTION INHIBITORS
FL,"CALCIMIMETIC,PARATHYROID CALCIUM ENHANCER"
FL,GLUCOCORTICOIDS
FL,MINERALOCORTICOIDS
FL,OPHTHALMIC ANTI-INFLAMMATORY IMMUNOMODULATOR-TYPE
FL,OPHTH. VEGF-A RECEPTOR ANTAG. RCMB MC ANTIBODY
FL,OPHTHALMIC CYSTINE DEPLETING AGENTS
FL,"RECTAL/LOWER BOWEL PREP.,GLUCOCORT. (NON-HEMORR)"
FL,"CHRONIC INFLAM. COLON DX, 5-A-SALICYLAT,RECTAL TX"
FL,"HEMORRHOID PREP,ANTI-INFLAM STEROID-LOCAL ANESTHET"
FL,VAGINAL ANTIFUNGALS
FL,VAGINAL ESTROGEN PREPARATIONS
FL,VAGINAL ANTIBIOTICS
FL,"TOPICAL PREPARATIONS,ANTIBACTERIALS"
FL,"TOPICAL ANTI-INFLAMMATORY, NSAIDS"
FL,TOPICAL ANTIFUNGALS
FL,TOPICAL LOCAL ANESTHETICS
FL,TOPICAL IMMUNOSUPPRESSIVE AGENTS
FL,"TOPICAL ANTIFUNGAL/ANTI-INFLAMMATORY,STEROID AGENT"
FL,TOPICAL ANTINEOPLASTIC PREMALIGNANT LESION AGENTS
FL,TOPICAL ANTI-INFLAMMATORY STEROIDAL
FL,TOPICAL ANTIPARASITICS
FL,TOPICAL SULFONAMIDES
FL,TOPICAL ANTIVIRALS
FL,TOPICAL ANTIBIOTICS
FL,EYE VASOCONSTRICTORS
FL,MIOTICS AND OTHER INTRAOCULAR PRESSURE REDUCERS
FL,EYE ANTIBIOTIC AND GLUCOCORTICOID COMBINATIONS
FL,MYDRIATICS
FL,EYE ANTI-INFLAMMATORY AGENTS
FL,EYE ANTIHISTAMINES
FL,EYE SULFONAMIDES
FL,EYE MAST CELL STABILIZERS
FL,EYE ANTIVIRALS
FL,OPHTHALMIC ANTIBIOTICS
FL,NASAL ANTIHISTAMINE
FL,NASAL ANTIHISTAMINE AND ANTI-INFLAM. STEROID COMB.
FL,NASAL ANTI-INFLAMMATORY STEROIDS
FL,"EAR PREPARATIONS, MISC. ANTI-INFECTIVES"
FL,"OTIC PREPARATIONS,ANTI-INFLAMMATORY-ANTIBIOTICS"
FL,EAR PREPARATIONS ANTI-INFLAMMATORY
FL,"EAR PREPARATIONS,ANTIBIOTICS"
FL,BENIGN PROSTATIC HYPERTROPHY/MICTURITION AGENTS
FL,URINARY TRACT ANTISPASMODIC/ANTIINCONTINENCE AGENT
FL,CARBONIC ANHYDRASE INHIBITORS
FL,THIAZIDE AND RELATED DIURETICS
FL,POTASSIUM SPARING DIURETICS
FL,"URINARY TRACT ANTISPASMODIC, M(3) SELECTIVE ANTAG."
FL,POTASSIUM SPARING DIURETICS IN COMBINATION
FL,LOOP DIURETICS
FL,ARGININE VASOPRESSIN (AVP) RECEPTOR ANTAGONISTS
FL,URICOSURIC AGENTS
FL,URINARY PH MODIFIERS
FL,"OVERACTIVE BLADDER AGENTS, BETA-3 ADRENERGIC RECEP"
FL,"CYSTINE-DEPLETING AGENTS, NEPHROPATHIC CYSTINOSIS"
FL,KIDNEY STONE AGENTS
FL,URINARY TRACT ANESTHETIC/ANALGESIC AGNT (AZO-DYE)
FL,COLCHICINE
FL,"NSAIDS, CYCLOOXYGENASE INHIBITOR TYPE ANALGESICS"
FL,"ANTI-INFLAMMATORY, PYRIMIDINE SYNTHESIS INHIBITOR"
FL,ANTI-INFLAMMATORY TUMOR NECROSIS FACTOR INHIBITOR
FL,"NSAIDS,CYCLOOXYGENASE-2(COX-2) SELECTIVE INHIBITOR"
FL,"ANTI-INFLAMMATORY,PHOSPHODIESTERASE-4(PDE4) INHIB."
FL,NEUROMUSCULAR BLOCKING AGENTS
FL,"TOP. ANTI-INFLAM.,PHOSPHODIESTERASE-4 (PDE4) INHIB"
FL,HERBAL DRUGS
FL,ANTINEOPLASTIC - ALKYLATING AGENTS
FL,ANTINEOPLASTIC - ANTIMETABOLITES
FL,ANTINEOPLASTIC - VINCA ALKALOIDS
FL,ANTIBIOTIC ANTINEOPLASTICS
FL,STEROID ANTINEOPLASTICS
FL,"ANTINEOPLASTICS,MISCELLANEOUS"
FL,CHEMOTHERAPY RESCUE/ANTIDOTE AGENTS
FL,ANTINEOPLASTIC - ANTIANDROGENIC AGENTS
FL,ANTINEOPLASTICS ANTIBODY/ANTIBODY-DRUG COMPLEXES
FL,ANTINEOPLASTIC IMMUNOMODULATOR AGENTS
FL,"ANTINEOPLASTIC LHRH(GNRH) AGONIST,PITUITARY SUPPR."
FL,ANTINEOPLASTIC SYSTEMIC ENZYME INHIBITORS
FL,SELECTIVE ESTROGEN RECEPTOR MODULATORS (SERMS)
FL,ANTINEOPLASTIC EGF RECEPTOR BLOCKER MCLON ANTIBODY
FL,ANTINEOPLAST HUM VEGF INHIBITOR RECOMB MC ANTIBODY
FL,ANTINEOPLASTIC COMB - KINASE AND AROMATASE INHIBIT
FL,ANTINEOPLASTIC - BRAF KINASE INHIBITORS
FL,ANTINEOPLASTIC - MTOR KINASE INHIBITORS
FL,ANTINEOPLASTIC - TOPOISOMERASE I INHIBITORS
FL,ANTINEOPLASTIC - AROMATASE INHIBITORS
FL,ANTINEOPLASTIC - MEK1 AND MEK2 KINASE INHIBITORS
FL,ANTINEOPLASTIC-B CELL LYMPHOMA-2(BCL-2) INHIBITORS
FL,"INTERLEUKIN-4(IL-4) RECEPTOR ALPHA ANTAGONIST, MAB"
FL,THYMIC STROMAL LYMPHOPOIETIN (TSLP) INHIBITORS
FL,"INTERLEUKIN-13 (IL-13) INHIBITORS, MAB"
FL,HEP C VIRUS-NS5B POLYMERASE AND NS5A INHIB. COMBO.
FL,HEPATITIS C VIRUS- NS5A AND NS3/4A INHIBITOR COMB
FL,"HEP C - NS5A, NS3/4A, NUCLEOTIDE NS5B INHIB COMBO"
FL,"ANTIRETROVIRAL-NUCLEOSIDE,NUCLEOTIDE,PROTEASE INH."
FL,ANTIRETROVIRAL-INTEGRASE INHIBITOR AND NNRTI COMB.
FL,ANTIRETROVIRAL - ANTI-CD4 DOMAIN 2 MONOCLONAL AB
FL,ANTIRETROVIRAL-INTEGRASE INHIBITOR AND NRTI COMB.
FL,ANTIRETROVIRAL - CAPSID INHIBITORS
FL,PENICILLIN ANTIBIOTICS
FL,TETRACYCLINE ANTIBIOTICS
FL,MACROLIDE ANTIBIOTICS
FL,AMINOGLYCOSIDE ANTIBIOTICS
FL,ANTITUBERCULAR ANTIBIOTICS
FL,VANCOMYCIN ANTIBIOTICS AND DERIVATIVES
FL,LINCOSAMIDE ANTIBIOTICS
FL,POLYMYXIN ANTIBIOTICS AND DERIVATIVES
FL,OXAZOLIDINONE ANTIBIOTICS
FL,BETALACTAMS
FL,QUINOLONE ANTIBIOTICS
FL,CARBAPENEM/PENEM ANTIBIOTICS
FL,CEPHALOSPORIN ANTIBIOTICS - 1ST GENERATION
FL,CEPHALOSPORIN ANTIBIOTICS - 2ND GENERATION
FL,CEPHALOSPORIN ANTIBIOTICS - 3RD GENERATION
FL,CEPHALOSPORIN ANTIBIOTICS - 4TH GENERATION
FL,ABSORBABLE SULFONAMIDE ANTIBACTERIAL AGENTS
FL,ANTI-MYCOBACTERIUM AGENTS
FL,NITROFURAN DERIVATIVES ANTIBACTERIAL AGENTS
FL,"ANTIBIOTIC, ANTIBACTERIAL, MISC."
FL,ANTIFUNGAL ANTIBIOTICS
FL,ANTIFUNGAL AGENTS
FL,ANTIMALARIAL DRUGS
FL,AMEBICIDES
FL,ANAEROBIC ANTIPROTOZOAL-ANTIBACTERIAL AGENTS
FL,2ND GEN. ANAEROBIC ANTIPROTOZOAL-ANTIBACTERIAL
FL,"ANTIPROTOZOAL DRUGS,MISCELLANEOUS"
FL,ANTHELMINTICS
FL,ANTILEPROTICS
FL,"ANTIVIRALS, HIV-SPECIFIC, CD4 ATTACHMENT INHIBITOR"
FL,"ANTIVIRALS, GENERAL"
FL,"ANTIVIRALS, HIV-SPECIFIC, PROTEASE INHIBITORS"
FL,HEPATITIS B TREATMENT AGENTS
FL,HEPATITIS C TREATMENT AGENTS
FL,"ANTIVIRALS, HIV-SPECIFIC, NUCLEOTIDE ANALOG, RTI"
FL,"ANTIVIRALS, HIV-SPECIFIC, NUCLEOSIDE ANALOG, RTI"
FL,"ANTIVIRALS, HIV-SPECIFIC, NON-NUCLEOSIDE, RTI"
FL,"ANTIVIRALS, HIV-SPEC., NUCLEOSIDE ANALOG, RTI COMB"
FL,"ANTIVIRALS, HIV-SPECIFIC, PROTEASE INHIBITOR COMB"
FL,"ANTIVIRALS, HIV-SPECIFIC, FUSION INHIBITORS"
FL,"ANTIVIRALS, HIV-SPEC, NUCLEOSIDE-NUCLEOTIDE ANALOG"
FL,"ANTIVIRALS, HIV-SPEC, NON-PEPTIDIC PROTEASE INHIB"
FL,"ARTV NUCLEOSIDE,NUCLEOTIDE,NON-NUCLEOSIDE RTI COMB"
FL,"ANTIVIRALS, HIV-SPECIFIC, CCR5 CO-RECEPTOR ANTAG."
FL,"ANTIVIRALS,HIV-1 INTEGRASE STRAND TRANSFER INHIBTR"
FL,"ARV-NUCLEOSIDE,NUCLEOTIDE RTI,INTEGRASE INHIBITORS"
FL,ANTIRETROVIRAL-NRTIS AND INTEGRASE INHIBITORS COMB
FL,IRRIGANTS
FL,GLUCOSYLCERAMIDE SYNTHASE (GCS) INHIBITOR
FL,"METABOLIC DISEASE ENZYME REPLACEMENT, FABRY'S DX"
FL,"METABOLIC DISEASE ENZYME REPLACEMENT, GAUCHER'S DX"
FL,"MAST CELL STABILIZERS, ORALLY INHALED"
FL,"INTERLEUKIN-5(IL-5) RECEPTOR ALPHA ANTAGONIST, MAB"
FL,HISTAMINE H2-RECEPTOR INHIBITORS
FL,IMMUNOSUPPRESSIVES
FL,MAST CELL STABILIZERS
FL,IMMUNOMODULATORS
FL,SYSTEMIC ENZYME INHIBITORS
FL,MONOCLONAL ANTIBODIES TO IMMUNOGLOBULIN E (IGE)
FL,1ST GEN ANTIHISTAMINE AND DECONGESTANT COMBINATION
FL,2ND GEN ANTIHISTAMINE AND DECONGESTANT COMBINATION
FL,ANTIHISTAMINES - 1ST GENERATION
FL,ANTIHISTAMINES - 2ND GENERATION
FL,ANTI-CD20 (B LYMPHOCYTE) MONOCLONAL ANTIBODY
FL,JANUS KINASE (JAK) INHIBITORS
FL,LEUKOTRIENE RECEPTOR ANTAGONISTS
FL,"DIAGNOSTIC PREPARATIONS,MISCELLANEOUS"
GA,ANTIINFECTIVES
GA,IMMUNOSUPPRESSANT DRUGS
GA,CARDIOVASCULAR MEDICATIONS
GA,AUTONOMIC AND CNS MEDICATIONS
GA,DERMATOLOGICAL MEDICATIONS
GA,EAR-NOSE-THROAT MEDICATIONS
GA,ENDOCRINE MEDICATIONS
GA,GASTROINTESTINAL MEDICATIONS
GA,IMMUNOLOGICALS
GA,MUSCULOSKELETAL MEDICATIONS
GA,NUTRITION / BLOOD MODIFIERS / ELECTROLYTES
GA,OBSTETRICAL & GYNECOLOGICAL MEDICATIONS
GA,OPHTHALMIC MEDICATIONS
GA,RESPIRATORY MEDICATIONS
GA,UROLOGICAL/RENAL MEDICATIONS
GA,DIABETIC SUPPLIES
GA,VACCINES
IA,ACE and Thiazide Combo's
IA,ACE Inhibitors
IA,ACE Inhibitors And Calcium Channel Blockers
IA,Achondroplasia Treatments
IA,Acne Products: Isotretinoin
IA,Agents For Fabrys Disease
IA,Agents For Gaucher Disease
IA,AGENTS FOR PHEOCHROMOCYTOMA
IA,Alcohol Deterrents
IA,Allergenic Extracts
IA,Alpha-Proteinase Inhibitor
IA,ALS Drug
IA,Alzheimer - Cholinomimetics
IA,Amino Glycosides
IA,Amyloidosis Treatments
IA,Analgesics - Misc.
IA,Anaphylaxis Therapy
IA,Androgens - Anabolics
IA,Androgens -Topical
IA,ANORECTAL - MISC.
IA,Anthelmintics
IA,Anti Infective Combo's - Misc.
IA,Antianginals
IA,ANTIANGINALS--ISOSORBIDE NITRATE
IA,ANTIARRHYTHMICS
IA,Antiasthmatic - 5-Lipoxygenase Inhibitors
IA,ANTIASTHMATIC - ADRENERGIC COMBOS
IA,ANTIASTHMATIC - ANTI-CHOLINERGICS
IA,ANTIASTHMATIC - ANTIINFLAMMATORY AGENTS
IA,ANTIASTHMATIC - BETA - ADRENERGICS
IA,Antiasthmatic - Leukotriene Receptor Antagonists
IA,Antiasthmatic - Misc. Respiratory Inhalants
IA,Antiasthmatic - Mixed Adrenergics
IA,Antiasthmatic - Mucolytics
IA,Antiasthmatic - Nasal Misc.
IA,ANTIASTHMATIC - STEROID INHALANTS
IA,Antiasthmatic - Xanthines
IA,ANTIBIOTICS - MISC.
IA,ANTI-CATAPLECTIC AGENTS
IA,ANTICOAGULANTS
IA,ANTICONVULSANTS
IA,Antidepressants - Mao Inhibitors
IA,Antidepressants - Selected SSRI's
IA,Antidepressants – SNRI’s
IA,ANTIDEPRESSANTS - TRI-CYCLICS
IA,ANTIDEPRESSANTS- MISC
IA,Antidepressants- Serotonin Modulators
IA,ANTIDOTES
IA,ANTIDOTES - CHELATING AGENTS
IA,Antiemetic - 5-HT3 Receptor Antagonists/ Substance P Neurokinin
IA,Antiemetic - Anticholinergic / Dopaminergic
IA,Antiemetic - Tetrahydrocannabinol (THC) Derivatives
IA,ANTIFUNGALS - ASSORTED
IA,Antihemophilia Factor IX Agents
IA,Antihemophilia Factor VII Agents
IA,Antihemophilia Factor VIII Agents
IA,Antihemophilia Factor von Willebrand Factor Agents
IA,Antihemophilia Factor X Agents
IA,ANTIHEMOPHILIC AGENTS
IA,Antihistamines - Non-Sedating
IA,Antihistamines - Non-Sedating / Decongestants
IA,Antihistamines - Other
IA,ANTIHYPERLIPIDEMICS
IA,Antihypertensives - Central
IA,ANTI-IGE & ANTI-INTERLEUKIN ANTIBODIES
IA,"ANTI-INFLAMMATORIES, NON-NSAID"
IA,Antileprotic
IA,Antimalarial Agents
IA,Antimycobacterials / Antituberculosis
IA,Anti-Parkinsonian Drugs
IA,ANTIPROTOZOAL AGENTS
IA,ANTI-PSORIATICS - NON-BIOLOGICALS
IA,ANTIPSYCHOTICS - ATYPICALS
IA,Antipsychotics - Special Atypicals
IA,ANTIPSYCHOTICS - TYPICAL
IA,Antispasmodics
IA,ANTISPASMODICS - LONG ACTING
IA,ANTI-THROMBOCYTOPENICS
IA,Antithyroid Therapies
IA,Anxiolytics - Benzodiazepines
IA,Anxiolytics - Long Acting
IA,Anxiolytics - Misc.
IA,ARB Combinations
IA,Arb/Ccb
IA,ARB/CCB Plus Diuretics
IA,ARB'S
IA,ARB'S And Diuretics
IA,Arthritis - Misc.
IA,Artificial Saliva/Stimulants
IA,Atopic Dermatitis
IA,Beta Blockers - Alpha / Beta
IA,BETA BLOCKERS - CARDIO SELECTIVE
IA,Beta Blockers - Non Selective
IA,Beta Blockers And Diuretic Combo'S
IA,Beta-Lactams / Clavulanate Combo'S
IA,BPH
IA,CALCIUM CHANNEL BLOCKERS--Amlodipines
IA,Calcium Channel Blockers--Diltiazems
IA,Calcium Channel Blockers--Felodipines
IA,Calcium Channel Blockers--Isradipines
IA,Calcium Channel Blockers--Nifedipines
IA,Calcium Channel Blockers--Nisoldipine
IA,CALCIUM CHANNEL BLOCKERS--Verapamils
IA,Carbapenems
IA,Cardiac Glycosides
IA,Cardiovascular Agents – Other
IA,Carnitine Replenisher - Agents
IA,CCB / Lipid
IA,Central Nervous System Agents
IA,Cephalosporins
IA,CGRP INHIBITORS
IA,Chelating Agents
IA,CHOLESTEROL - BILE SEQUESTRANTS
IA,Cholesterol - Fibric Acid Derivatives
IA,CHOLESTEROL - HMG COA + ABSORB INHIBITORS
IA,Cholesterol - Hmg COA + Absorb Inhibitors: High Potency Drugs/Combinations
IA,Cholesterol - Hmg COA + Absorb Inhibitors: Low Potency Drugs/Combinations
IA,Cholinergic
IA,Complement Inhibitors
IA,Compounding Materials
IA,Contraceptives - Emergency Contraceptive
IA,Contraceptives - Injectable
IA,Contraceptives - Monophasic Combination O/C'S
IA,Contraceptives - Multi-Phasic Combinations
IA,CONTRACEPTIVES - PATCHES/ VAGINAL PRODUCTS
IA,Contraceptives - Progestin Only
IA,Contraceptives - Tri-Phasic Combinations
IA,Cough/Cold - Antitussive-Expectorant
IA,Cough/Cold - Systemic Decongestants
IA,COVID-19 AGENTS
IA,Cox 2 Inhibitors - Selective
IA,CUSHINGS DISEASE TREATMENTS
IA,Cystic Fibrosis Agents
IA,CYTO-MEGALOVIRUS AGENTS
IA,Dental Products
IA,Diabetic - Alphaglucosidase
IA,DIABETIC - INSULIN
IA,DIABETIC - INSULIN PENFILLS
IA,Diabetic - Meglitinides
IA,Diabetic - Oral Biguanides
IA,Diabetic - Oral Sulfonylureas
IA,DIABETIC - OTHER
IA,Diabetic - Sulfonylurea / Biguanide
IA,Diabetic - Thiazol
IA,Diabetic - Thiazol / Biguanide Combo
IA,Diabetic Amylin Analogs
IA,Diabetic- Dipeptidyl Peptidase-4 (DPP-4) Inhibitors
IA,Diabetic- DPP-4 Inhibitor Combinations
IA,Diabetic- GIP/GLP-1 Receptor Agonists
IA,Diabetic- GLP-1 Receptor Agonists
IA,Diabetic Insulin Combinations
IA,Diabetic- SGLT2 Inhibitor Combinations
IA,Diabetic- Sodium-Glucose Co-Transporter 2 (SGLT2) Inhibitors
IA,Direct Renin Inhibitors
IA,DIURETICS
IA,Dopamine Receptor Agonists
IA,Ear
IA,ELECTROLYTES/ NUTRITIONALS
IA,Endocrine Metabolic Agents
IA,Endometriosis Agents
IA,Endothelin and Angiotensin II Receptor Antagonists
IA,Erythropoeisis Stimulating Agents
IA,Estrogen Combos
IA,Estrogens - Patches
IA,Estrogens - Tabs
IA,FLUOROQUINOLONES
IA,GI - ANTI - FLATULENTS / GI STIMULANTS
IA,GI - ANTIDIARRHEAL / ANTACID - MISC.
IA,Gi - Antiperistaltic Agents
IA,Gi - Digestive Enzymes
IA,Gi - H2-Antagonists
IA,Gi - Inflammatory Bowel Agents
IA,GI - IRRITABLE BOWEL SYNDROME AGENTS
IA,GI - MISC.
IA,Gi - Misc. Anti-Ulcer
IA,Gi - Prostaglandins
IA,GI - PROTON PUMP INHIBITOR
IA,GI - PROTON PUMP INHIBITOR/NSAID COMBO
IA,GI - ULCER ANTI-INFECTIVE
IA,"GI, Constipation - IBS-OIC"
IA,Glucocorticoids - Corticotropin
IA,GLUCOCORTICOIDS - MINERALOCORTICOIDS
IA,Gout
IA,GRANULOCYTE CSF
IA,GROWTH HORMONE
IA,Heart Failure Agents
IA,Hematopoietic Agents
IA,Hemostatic
IA,Hepatitis B Only
IA,HEPATITIS C AGENTS
IA,Hereditary Angioedema Agents
IA,Hereditary Tyrosinemia Type 1 (HT-1) Treatment - Agents
IA,Herpes Agents
IA,Hormone Receptor Modulators
IA,Hyperparathyroid Treatment - Vitamin D Analogs
IA,Hyperparathyroid Treatment - Vitamin D Analogs And Calcimimetics
IA,Idiopathic Pulmonary Fibrosis
IA,IMMUNE SERUMS
IA,IMMUNOSUPPRESSANTS
IA,Influenza Agents
IA,Interferon Gamma
IA,K Removing Resins
IA,Lincosamides / Oxazolidinones / Leprostatics
IA,Lipodystrophy Agents
IA,Lithium
IA,Macrolides / Erythromycin'S / Ketolides
IA,Migraine - Ergot Combinations
IA,MIGRAINE - ERGOTAMINE DERIVATIVES
IA,Migraine - Selective Serotonin Agonists (5HT)--Injectables
IA,MIGRAINE - SELECTIVE SEROTONIN AGONISTS (5HT)--Tabs
IA,Migraine - Selective Serotonin Agonists-5HT Combinations
IA,MINERALOCORTICOID-RECEPTOR ANTAGONISTS
IA,Minerals
IA,MINERALS
IA,Mouth - Anesthetics Topical Oral
IA,Mouth - Steroids
IA,Mouth Anti-Infectives
IA,Mouth Antiseptics
IA,MULTIPLE SCLEROSIS AGENTS
IA,Multiple Sclerosis Agents – Interferons
IA,Multiple Sclerosis Agents – Non-Interferons
IA,Muscle Relaxants
IA,Muscular Atrophy Agents
IA,Muscular Dystrophy Agents
IA,NARCOTIC - ANTAGONISTS
IA,Narcotics - Misc.
IA,NARCOTICS - SELECTED
IA,Narcotics -Long Acting
IA,Nasal Steroid/Antihistamine Combos
IA,Nasal Steroids
IA,NEUROLOGICS - MISC.
IA,Nicardipines
IA,Nicotine Replacement Therapy
IA,Nitro - Ointment/Cap/Cr
IA,Nitro - Patches
IA,Nitro - Sublingual/ Spray
IA,NSAIDS
IA,Op. Antiallergics - Antihistamines
IA,Op. Antiallergics - Mast Cell Stabilizers
IA,Op. Antibiotics
IA,OP. ANTIINFLAMMATORY / STEROIDS OPHTH.
IA,Op. Beta - Blockers
IA,OP. CARBONIC ANHYDRASE INHIBITORS/COMBO
IA,Op. Cycloplegics
IA,OP. MIOTICS - DIRECT ACTING
IA,OP. MISC
IA,Op. Nsaid'S
IA,OP. PROSTAGLANDINS
IA,Op. Quinolones
IA,Op. Quinolones Fourth Generation
IA,OP. RHO KINASE INHIBITORS
IA,OP. SELECTIVE ALPHA ADRENERGIC AGONISTS
IA,OPIOID WITHDRAWAL TREATMENTS
IA,OSTEOPOROSIS
IA,Oxytocics
IA,Parkinsons - Anticholinergics
IA,Parkinsons - Comt Inhibitors
IA,PARKINSONS - SELECTED DOPAMIN AGONISTS
IA,Phenylketonuria
IA,PHOSPHATE BINDERS
IA,PHOSPHODIESTERASE INHIBITORS
IA,Platelet Aggr. Inhibitors / Combo's - Misc.
IA,Platelet Aggregation Inhibitors
IA,POWDERS
IA,PRESSORS
IA,Progeria Treatments
IA,PROGESTINS
IA,Psychotherapeutic Combination
IA,PULMONARY ANTI-HYPERTENSIVES
IA,Pulmonary Anti-Hypertensives-Endothelin Receptor Antagonist
IA,Purine Analog
IA,PYRUVATE KINASE ACTIVATORS
IA,Restless Leg Syndrome Agents
IA,Rheumatoid Arthritis - Non-Biologicals
IA,RSV Agents
IA,Sedative/Hypnotics - Barbiturate
IA,Sedative/Hypnotics - Benzodiazepines
IA,SEDATIVE/HYPNOTICS - Non-Benzodiazepines
IA,SGLT 1/2 INHIBITORS
IA,Sickle Cell Anemia Agents
IA,Sinus Node Inhibitors
IA,SLE agents
IA,SMOKING CESSATION (ORAL)
IA,SOMATOSTATIC AGENTS
IA,STIMULANTS
IA,STIMULANTS - AMPHETAMINES - LONG ACTING
IA,Stimulants - Amphetamines - Short Acting
IA,STIMULANTS - METHYLPHENIDATE
IA,STIMULANTS - METHYLPHENIDATE - LONG ACTING
IA,STIMULANTS - OTHER STIMULANTS / LIKE STIMULANTS
IA,TETRACYCLINES
IA,THYROID HORMONES
IA,Tissue Plasminogen Activator
IA,TOPICAL - ACNE PREPARATIONS
IA,Topical - Antibiotic
IA,TOPICAL - ANTIFUNGALS
IA,Topical - Antineoplastics
IA,Topical - Antipruritics
IA,Topical - Antiseborrheics
IA,Topical - Antivirals
IA,Topical - Astringents / Protectants
IA,Topical - Burn Products
IA,Topical - Cauterizing Agents
IA,Topical - Corticosteroids - High Potency
IA,Topical - Corticosteroids - Low Potency
IA,Topical - Corticosteroids - Medium Potency
IA,Topical - Emollients
IA,Topical - Enzymes / Keratolytics / Urea
IA,Topical - Genital Warts
IA,Topical - Immunomodulators
IA,Topical - Local Anesthetics
IA,TOPICAL - LOCAL ANESTHETICS
IA,Topical - Scabicides And Pediculicides
IA,Topical - Steroid Combinations
IA,Topical - Steroid Local Anesthetics
IA,TOPICAL - TRETINOIDS
IA,TOPICAL - WOUND / DECUBITUS CARE
IA,UREA CYCLE DISORDER - AGENTS
IA,Urological - Misc.
IA,Vaginal - Anti Fungals
IA,Vaginal - Antibacterials
IA,Vaginal - Estrogens
IA,Vasopressins
IA,Vitamins
IA,Vitamins - Misc.
IA,Antineoplastics - Alkylating Agents
IA,Antineoplastics - Androgen Biosynthesis Inhibitor.
IA,Antineoplastics - Antiadrenals
IA,Antineoplastics - Antiandrogens
IA,Antineoplastics - Antiestrogens
IA,ANTINEOPLASTICS - ANTIMETABOLITES
IA,Antineoplastics - Aromatase Inhibitors
IA,Antineoplastics - CLL 17p Deletion
IA,ANTINEOPLASTICS - COMBINATIONS
IA,Antineoplastics - Folic Acid Antagonists Rescue Agents
IA,Antineoplastics - Imidazotetrazines
IA,ANTINEOPLASTICS - MISC.
IA,Antineoplastics - Nitrogen Mustards
IA,Antineoplastics - Parp Inhibitors
IA,Antineoplastics - Progestins
IA,ANTINEOPLASTICS - PROTEIN-TYROSINE KINASE INHIBITORS
IA,antineoplastics - retinoids
IA,ANTINEOPLASTICS - SELECTIVE RETINOID X RECEPTOR AGONISTS
IA,Antineoplastics - Topoisomerase I Inhibitors
IA,ANTINEOPLASTICS - URINARY TRACT PROTECTIVE AGENTS
IA,ANTIRETROVIRAL BOOSTING AGENT-CYTOCHROME P450 INHIBITOR
IA,Antiretrovirals - Combinations
IA,ANTIRETROVIRALS - ENTRY INHIBITORS
IA,Antiretrovirals - Integrase Inhibitors
IA,Antiretrovirals - Protease Inhibitors
IA,Antiretrovirals - Rti - Non - Nucleoside Analogues
IA,Antiretrovirals - Rti - Nucleoside/Nucleotide Analogues
IL,ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES
IL,ADHD / ANTI-NARCOLEPSY AGENTS : MISC
IL,ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS
IL,AGENTS FOR SICKLE CELL DISEASE
IL,ANALGESICS - ANTI-INFLAMMATORY : MISC
IL,ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs)
IL,ANALGESICS - NONNARCOTIC
IL,ANALGESICS : OPIOID
IL,ANALGESICS : OPIOID COMBINATIONS
IL,ANAPHYLAXIS THERAPY AGENTS
IL,ANORECTAL AGENTS
IL,ANTIANXIETY AGENTS : BENZODIAZEPINES
IL,ANTIANXIETY AGENTS : MISC
IL,ANTIASTHMATIC AND BRONCHODILATOR AGENTS : ADRENERGIC COMBINATIONS
IL,ANTIASTHMATIC AND BRONCHODILATOR AGENTS : ANTICHOLINERGICS
IL,ANTIASTHMATIC AND BRONCHODILATOR AGENTS : BETA ADRENERGICS
IL,ANTIASTHMATIC AND BRONCHODILATOR AGENTS : LEUKOTRIENE MODULATORS
IL,ANTIASTHMATIC AND BRONCHODILATOR AGENTS : MISC
IL,ANTIASTHMATIC AND BRONCHODILATOR AGENTS : MONOCLONAL ANTIBODIES
IL,ANTIASTHMATIC AND BRONCHODILATOR AGENTS : STEROID INHALANTS
IL,ANTIBIOITICS : FLUOROQUINOLONES
IL,ANTIBIOTICS : AMINOGLYCOSIDES
IL,ANTIBIOTICS : AMINOGLYCOSIDES - INHALED
IL,ANTIBIOTICS : ANTI-INFECTIVE AGENTS
IL,ANTIBIOTICS : ANTIMYCOBACTERIAL AGENTS
IL,ANTIBIOTICS : CEPHALOSPORINS
IL,ANTIBIOTICS : MACROLIDES
IL,ANTIBIOTICS : PENICILLINS
IL,ANTIBIOTICS : TETRACYCLINES
IL,ANTICOAGULANTS : COUMARIN
IL,ANTICOAGULANTS : DIRECT FACTOR XA INHIBITORS & MISC
IL,ANTICOAGULANTS : HEPARIN AND HEPARINOID-LIKE AGENTS
IL,ANTICONVULSANTS
IL,ANTIDEPRESSANTS : MISC
IL,ANTIDEPRESSANTS : SELECTIVE SEROTONIN REUPTAKE INHIBITOR (SSRIs)
IL,ANTIDEPRESSANTS : SELECTIVE SEROTONIN-NOREPINEPHRINE REUPTAKE INHIBITOR (SNRIs)
