Preferred,Non-Preferred
"DILANTIN (phenytoin) 30 mg capsules, Infatab, suspension ",CELONTIN (methsuximide) Kapseal 
 ,Methsuximide capsule 
PHENYTEK (phenytoin ER) capsule , 
 ,"ZARONTIN (ethosuximide) capsule, solution"
"Phenytoin suspension, chewable, ER capsule",KLONOPIN (clonazepam) tablet 
"Ethosuximide capsule, solution", 
"Clobazam tablet, suspension ","ONFI (clobazam) suspension, tablet "
 , 
"Clonazepam tablet, ODT",SYMPAZAN (clobazam) SL film
DEPAKOTE (divalproex DR) sprinkle capsule ,DEPAKOTE (divalproex DR) tablet 
 , 
"Divalproex sprinkle capsule, DR tablet, ER tablet ",DEPAKOTE ER (divalproex ER) tablet
 ,APTIOM (eslicarbazepine) tablet 
"Valproic acid capsule, solution", 
"Carbamazepine IR tablet, ER tablet, chewable, ER capsule, suspension  ",EQUETRO (carbamazepine) capsule 
 , 
CARBATROL ER ,Oxcarbazepine suspension 
(carbamazepine) capsule , 
 ,Oxcarbazepine ER (generic Oxtellar XR) tablet 
Oxcarbazepine tablet , 
 ,OXTELLAR XR (oxcarbazepine) tablet 
"TEGRETOL (carbamazepine) suspension, tablet ", 
 ,TRILEPTAL (oxcarbazepine) tablet
TEGRETOL XR (carbamazepine ,APTIOM (eslicarbazepine) tablet 
ER) tablet , 
 ,EQUETRO (carbamazepine) capsule 
TRILEPTALBNR (oxcarbazepine) suspension, 
"Carbamazepine IR tablet, ER tablet, chewable, ER capsule, suspension  ",Oxcarbazepine suspension 
 , 
CARBATROL ER ,Oxcarbazepine ER (generic Oxtellar XR) tablet 
(carbamazepine) capsule , 
 ,OXTELLAR XR (oxcarbazepine) tablet 
Oxcarbazepine tablet , 
 ,TRILEPTAL (oxcarbazepine) tablet
"TEGRETOL (carbamazepine) suspension, tablet ",APTIOM (eslicarbazepine) tablet 
 , 
TEGRETOL XR (carbamazepine ,EQUETRO (carbamazepine) capsule 
ER) tablet , 
 ,Oxcarbazepine suspension 
TRILEPTALBNR (oxcarbazepine) suspension, 
"Carbamazepine IR tablet, ER tablet, chewable, ER capsule, suspension  ",Oxcarbazepine ER (generic Oxtellar XR) tablet 
 , 
CARBATROL ER ,OXTELLAR XR (oxcarbazepine) tablet 
(carbamazepine) capsule , 
 ,TRILEPTAL (oxcarbazepine) tablet
Oxcarbazepine tablet ,"LAMICTAL (lamotrigine) chewable/dispersible dose pack, tablet "
 , 
"TEGRETOL (carbamazepine) suspension, tablet ","LAMICTAL (lamotrigine) ODT, ODT dose pack "
 , 
TEGRETOL XR (carbamazepine ,"LAMICTAL XR (lamotrigine ER) tablet, dose pack "
ER) tablet , 
 ,Lamotrigine ER/IR/ODT dose packs
TRILEPTALBNR (oxcarbazepine) suspension,"LAMICTAL (lamotrigine) chewable/dispersible dose pack, tablet "
"Lamotrigine IR tablet, ER tablet, chewable/dispersible tablet, ", 
ODT,"LAMICTAL (lamotrigine) ODT, ODT dose pack "
"Lamotrigine IR tablet, ER tablet, chewable/dispersible tablet, ", 
ODT,"LAMICTAL XR (lamotrigine ER) tablet, dose pack "
"Lamotrigine IR tablet, ER tablet, chewable/dispersible tablet, ", 
ODT,Lamotrigine ER/IR/ODT dose packs
"Lamotrigine IR tablet, ER tablet, chewable/dispersible tablet, ","LAMICTAL (lamotrigine) chewable/dispersible dose pack, tablet "
ODT, 
"Lamotrigine IR tablet, ER tablet, chewable/dispersible tablet, ","LAMICTAL (lamotrigine) ODT, ODT dose pack "
ODT, 
"Lamotrigine IR tablet, ER tablet, chewable/dispersible tablet, ","LAMICTAL XR (lamotrigine ER) tablet, dose pack "
ODT, 
"Lamotrigine IR tablet, ER tablet, chewable/dispersible tablet, ",Lamotrigine ER/IR/ODT dose packs
ODT,"LAMICTAL (lamotrigine) chewable/dispersible dose pack, tablet "
"Lamotrigine IR tablet, ER tablet, chewable/dispersible tablet, ", 
ODT,"LAMICTAL (lamotrigine) ODT, ODT dose pack "
"Lamotrigine IR tablet, ER tablet, chewable/dispersible tablet, ", 
ODT,"LAMICTAL XR (lamotrigine ER) tablet, dose pack "
"Lamotrigine IR tablet, ER tablet, chewable/dispersible tablet, ", 
ODT,Lamotrigine ER/IR/ODT dose packs
"Lamotrigine IR tablet, ER tablet, chewable/dispersible tablet, ","LAMICTAL (lamotrigine) chewable/dispersible dose pack, tablet "
ODT, 
,"LAMICTAL (lamotrigine) ODT, ODT dose pack "
, 
,"LAMICTAL XR (lamotrigine ER) tablet, dose pack "
, 
,Lamotrigine ER/IR/ODT dose packs
,"LAMICTAL (lamotrigine) chewable/dispersible dose pack, tablet "
, 
,"LAMICTAL (lamotrigine) ODT, ODT dose pack "
, 
,"LAMICTAL XR (lamotrigine ER) tablet, dose pack "
, 
,Lamotrigine ER/IR/ODT dose packs
,"LAMICTAL (lamotrigine) chewable/dispersible dose pack, tablet "
, 
,"LAMICTAL (lamotrigine) ODT, ODT dose pack "
, 
,"LAMICTAL XR (lamotrigine ER) tablet, dose pack "
, 
,Lamotrigine ER/IR/ODT dose packs
,"LAMICTAL (lamotrigine) chewable/dispersible dose pack, tablet "
, 
,"LAMICTAL (lamotrigine) ODT, ODT dose pack "
, 
,"LAMICTAL XR (lamotrigine ER) tablet, dose pack "
, 
,Lamotrigine ER/IR/ODT dose packs
,"LAMICTAL (lamotrigine) chewable/dispersible dose pack, tablet "
, 
,"LAMICTAL (lamotrigine) ODT, ODT dose pack "
, 
,"LAMICTAL XR (lamotrigine ER) tablet, dose pack "
, 
,Lamotrigine ER/IR/ODT dose packs
,"LAMICTAL (lamotrigine) chewable/dispersible dose pack, tablet "
, 
,"LAMICTAL (lamotrigine) ODT, ODT dose pack "
, 
,"LAMICTAL XR (lamotrigine ER) tablet, dose pack "
, 
,Lamotrigine ER/IR/ODT dose packs
,"LAMICTAL (lamotrigine) chewable/dispersible dose pack, tablet "
, 
,"LAMICTAL (lamotrigine) ODT, ODT dose pack "
, 
,"LAMICTAL XR (lamotrigine ER) tablet, dose pack "
, 
,Lamotrigine ER/IR/ODT dose packs
"Topiramate tablet, sprinkle capsule",EPRONTIA (topiramate) solution 
"Topiramate tablet, sprinkle capsule", 
"Topiramate tablet, sprinkle capsule",QUDEXY XR (topiramate) capsule 
"Topiramate tablet, sprinkle capsule", 
"Topiramate tablet, sprinkle capsule","TOPAMAX (topiramate) tablet, sprinkle capsule "
"Topiramate tablet, sprinkle capsule", 
"Topiramate tablet, sprinkle capsule",Topiramate ER capsule 
"Topiramate tablet, sprinkle capsule", 
"Topiramate tablet, sprinkle capsule",TROKENDI XR (topiramate ER) capsule
"Levetiracetam IR tablet, ER tablet, solution",EPRONTIA (topiramate) solution 
"Levetiracetam IR tablet, ER tablet, solution", 
"Levetiracetam IR tablet, ER tablet, solution",QUDEXY XR (topiramate) capsule 
"Levetiracetam IR tablet, ER tablet, solution", 
"Levetiracetam IR tablet, ER tablet, solution","TOPAMAX (topiramate) tablet, sprinkle capsule "
"Levetiracetam IR tablet, ER tablet, solution", 
"Levetiracetam IR tablet, ER tablet, solution",Topiramate ER capsule 
"Levetiracetam IR tablet, ER tablet, solution", 
"Levetiracetam IR tablet, ER tablet, solution",TROKENDI XR (topiramate ER) capsule
"Levetiracetam IR tablet, ER tablet, solution",EPRONTIA (topiramate) solution 
"Levetiracetam IR tablet, ER tablet, solution", 
*Felbamate suspension ,QUDEXY XR (topiramate) capsule 
 , 
FELBATOL (felbamate) suspension ,"TOPAMAX (topiramate) tablet, sprinkle capsule "
 , 
FELBATOL (felbamate) BNR   ,Topiramate ER capsule 
tablet , 
 ,TROKENDI XR (topiramate ER) capsule
"Lacosamide solution, tablet ",EPRONTIA (topiramate) solution 
 , 
Rufinamide tablet ,QUDEXY XR (topiramate) capsule 
 , 
Zonisamide capsule,"TOPAMAX (topiramate) tablet, sprinkle capsule "
*Felbamate suspension , 
 ,Topiramate ER capsule 
FELBATOL (felbamate) suspension , 
 ,TROKENDI XR (topiramate ER) capsule
FELBATOL (felbamate) BNR   ,EPRONTIA (topiramate) solution 
tablet , 
 ,QUDEXY XR (topiramate) capsule 
"Lacosamide solution, tablet ", 
 ,"TOPAMAX (topiramate) tablet, sprinkle capsule "
Rufinamide tablet , 
 ,Topiramate ER capsule 
Zonisamide capsule, 
*Felbamate suspension ,TROKENDI XR (topiramate ER) capsule
 ,EPRONTIA (topiramate) solution 
FELBATOL (felbamate) suspension , 
 ,QUDEXY XR (topiramate) capsule 
FELBATOL (felbamate) BNR   , 
tablet ,"TOPAMAX (topiramate) tablet, sprinkle capsule "
 , 
"Lacosamide solution, tablet ",Topiramate ER capsule 
 , 
Rufinamide tablet ,TROKENDI XR (topiramate ER) capsule
 ,EPRONTIA (topiramate) solution 
Zonisamide capsule, 
*Felbamate suspension ,QUDEXY XR (topiramate) capsule 
 , 
FELBATOL (felbamate) suspension ,"TOPAMAX (topiramate) tablet, sprinkle capsule "
 , 
FELBATOL (felbamate) BNR   ,Topiramate ER capsule 
tablet , 
 ,TROKENDI XR (topiramate ER) capsule
"Lacosamide solution, tablet ",EPRONTIA (topiramate) solution 
 , 
Rufinamide tablet ,QUDEXY XR (topiramate) capsule 
 , 
Zonisamide capsule,"TOPAMAX (topiramate) tablet, sprinkle capsule "
*Felbamate suspension , 
 ,Topiramate ER capsule 
FELBATOL (felbamate) suspension , 
 ,TROKENDI XR (topiramate ER) capsule
FELBATOL (felbamate) BNR   ,EPRONTIA (topiramate) solution 
tablet , 
 ,QUDEXY XR (topiramate) capsule 
"Lacosamide solution, tablet ", 
 ,"TOPAMAX (topiramate) tablet, sprinkle capsule "
Rufinamide tablet , 
 ,Topiramate ER capsule 
Zonisamide capsule, 
*Felbamate suspension ,TROKENDI XR (topiramate ER) capsule
 ,"BRIVIACT (brivaracetam) solution, tablet "
FELBATOL (felbamate) suspension , 
 ,ELEPSIA XR (levetiracetam ER) tablet 
FELBATOL (felbamate) BNR   , 
tablet ,"KEPPRA (levetiracetam) tablet, solution "
 , 
"Lacosamide solution, tablet ",KEPRA XR (levetiracetam ER) tablet 
 , 
Rufinamide tablet ,Levetiracetam 250mg tablets for suspension 
 , 
Zonisamide capsule,SPRITAM (levetiracetam) tablet
*Felbamate suspension ,"BRIVIACT (brivaracetam) solution, tablet "
 , 
FELBATOL (felbamate) suspension ,ELEPSIA XR (levetiracetam ER) tablet 
 , 
FELBATOL (felbamate) BNR   ,"KEPPRA (levetiracetam) tablet, solution "
tablet , 
 ,KEPRA XR (levetiracetam ER) tablet 
"Lacosamide solution, tablet ", 
 ,Levetiracetam 250mg tablets for suspension 
Rufinamide tablet , 
 ,SPRITAM (levetiracetam) tablet
Zonisamide capsule,"BRIVIACT (brivaracetam) solution, tablet "
*Felbamate suspension , 
 ,ELEPSIA XR (levetiracetam ER) tablet 
FELBATOL (felbamate) suspension , 
 ,"KEPPRA (levetiracetam) tablet, solution "
FELBATOL (felbamate) BNR   , 
tablet ,KEPRA XR (levetiracetam ER) tablet 
 , 
"Lacosamide solution, tablet ",Levetiracetam 250mg tablets for suspension 
 , 
Rufinamide tablet ,SPRITAM (levetiracetam) tablet
 ,"BRIVIACT (brivaracetam) solution, tablet "
Zonisamide capsule, 
*Felbamate suspension ,ELEPSIA XR (levetiracetam ER) tablet 
 , 
FELBATOL (felbamate) suspension ,"KEPPRA (levetiracetam) tablet, solution "
 , 
FELBATOL (felbamate) BNR   ,KEPRA XR (levetiracetam ER) tablet 
tablet , 
 ,Levetiracetam 250mg tablets for suspension 
"Lacosamide solution, tablet ", 
 ,SPRITAM (levetiracetam) tablet
Rufinamide tablet ,"BRIVIACT (brivaracetam) solution, tablet "
 , 
Zonisamide capsule,ELEPSIA XR (levetiracetam ER) tablet 
*Felbamate suspension , 
 ,"KEPPRA (levetiracetam) tablet, solution "
FELBATOL (felbamate) suspension , 
 ,KEPRA XR (levetiracetam ER) tablet 
FELBATOL (felbamate) BNR   , 
tablet ,Levetiracetam 250mg tablets for suspension 
 , 
"Lacosamide solution, tablet ",SPRITAM (levetiracetam) tablet
 ,"BRIVIACT (brivaracetam) solution, tablet "
Rufinamide tablet , 
 ,ELEPSIA XR (levetiracetam ER) tablet 
Zonisamide capsule, 
*Felbamate suspension ,"KEPPRA (levetiracetam) tablet, solution "
 , 
FELBATOL (felbamate) suspension ,KEPRA XR (levetiracetam ER) tablet 
 , 
FELBATOL (felbamate) BNR   ,Levetiracetam 250mg tablets for suspension 
tablet , 
 ,SPRITAM (levetiracetam) tablet
"Lacosamide solution, tablet ","BRIVIACT (brivaracetam) solution, tablet "
 , 
Rufinamide tablet ,ELEPSIA XR (levetiracetam ER) tablet 
 , 
Zonisamide capsule,"KEPPRA (levetiracetam) tablet, solution "
*Felbamate suspension , 
 ,KEPRA XR (levetiracetam ER) tablet 
FELBATOL (felbamate) suspension , 
 ,Levetiracetam 250mg tablets for suspension 
FELBATOL (felbamate) BNR   , 
tablet ,SPRITAM (levetiracetam) tablet
 ,"BRIVIACT (brivaracetam) solution, tablet "
"Lacosamide solution, tablet ", 
 ,ELEPSIA XR (levetiracetam ER) tablet 
Rufinamide tablet , 
 ,"KEPPRA (levetiracetam) tablet, solution "
Zonisamide capsule, 
*Felbamate suspension ,KEPRA XR (levetiracetam ER) tablet 
 , 
FELBATOL (felbamate) suspension ,Levetiracetam 250mg tablets for suspension 
 , 
FELBATOL (felbamate) BNR   ,SPRITAM (levetiracetam) tablet
tablet ,"BRIVIACT (brivaracetam) solution, tablet "
 , 
"Lacosamide solution, tablet ",ELEPSIA XR (levetiracetam ER) tablet 
 , 
Rufinamide tablet ,"KEPPRA (levetiracetam) tablet, solution "
 , 
Zonisamide capsule,KEPRA XR (levetiracetam ER) tablet 
, 
,Levetiracetam 250mg tablets for suspension 
, 
,SPRITAM (levetiracetam) tablet
,"BRIVIACT (brivaracetam) solution, tablet "
, 
,ELEPSIA XR (levetiracetam ER) tablet 
, 
,"KEPPRA (levetiracetam) tablet, solution "
, 
,KEPRA XR (levetiracetam ER) tablet 
, 
,Levetiracetam 250mg tablets for suspension 
, 
,SPRITAM (levetiracetam) tablet
,"BRIVIACT (brivaracetam) solution, tablet "
, 
,ELEPSIA XR (levetiracetam ER) tablet 
, 
,"KEPPRA (levetiracetam) tablet, solution "
, 
,KEPRA XR (levetiracetam ER) tablet 
, 
,Levetiracetam 250mg tablets for suspension 
, 
,SPRITAM (levetiracetam) tablet
,"BANZEL (rufinamide) suspension, tablet "
, 
,"DIACOMIT (stiripentol) capsule, powder packet "
, 
,EPIDIOLEX (cannabidiol) solution 
, 
,Felbamate tablet  
, 
,FINTEPLA (fenfluramine) solution 
, 
,"FYCOMPA (perampanel) suspension, tablet "
, 
,GABITRIL (tiagabine) tablet 
, 
,Lacosamide UD solution
,"BANZEL (rufinamide) suspension, tablet "
, 
,"DIACOMIT (stiripentol) capsule, powder packet "
, 
,EPIDIOLEX (cannabidiol) solution 
, 
,Felbamate tablet  
, 
,FINTEPLA (fenfluramine) solution 
, 
,"FYCOMPA (perampanel) suspension, tablet "
, 
,GABITRIL (tiagabine) tablet 
, 
,Lacosamide UD solution
,"BANZEL (rufinamide) suspension, tablet "
, 
,"DIACOMIT (stiripentol) capsule, powder packet "
, 
,EPIDIOLEX (cannabidiol) solution 
, 
,Felbamate tablet  
, 
,FINTEPLA (fenfluramine) solution 
, 
,"FYCOMPA (perampanel) suspension, tablet "
, 
,GABITRIL (tiagabine) tablet 
, 
,Lacosamide UD solution
,"BANZEL (rufinamide) suspension, tablet "
, 
,"DIACOMIT (stiripentol) capsule, powder packet "
, 
,EPIDIOLEX (cannabidiol) solution 
, 
,Felbamate tablet  
, 
,FINTEPLA (fenfluramine) solution 
, 
,"FYCOMPA (perampanel) suspension, tablet "
, 
,GABITRIL (tiagabine) tablet 
, 
,Lacosamide UD solution
,"BANZEL (rufinamide) suspension, tablet "
, 
,"DIACOMIT (stiripentol) capsule, powder packet "
, 
,EPIDIOLEX (cannabidiol) solution 
, 
,Felbamate tablet  
, 
,FINTEPLA (fenfluramine) solution 
, 
,"FYCOMPA (perampanel) suspension, tablet "
, 
,GABITRIL (tiagabine) tablet 
, 
,Lacosamide UD solution
,"BANZEL (rufinamide) suspension, tablet "
, 
,"DIACOMIT (stiripentol) capsule, powder packet "
, 
,EPIDIOLEX (cannabidiol) solution 
, 
,Felbamate tablet  
, 
,FINTEPLA (fenfluramine) solution 
, 
,"FYCOMPA (perampanel) suspension, tablet "
, 
,GABITRIL (tiagabine) tablet 
, 
,Lacosamide UD solution
,"BANZEL (rufinamide) suspension, tablet "
, 
,"DIACOMIT (stiripentol) capsule, powder packet "
, 
,EPIDIOLEX (cannabidiol) solution 
, 
,Felbamate tablet  
, 
,FINTEPLA (fenfluramine) solution 
, 
,"FYCOMPA (perampanel) suspension, tablet "
, 
,GABITRIL (tiagabine) tablet 
, 
,Lacosamide UD solution
,"BANZEL (rufinamide) suspension, tablet "
, 
,"DIACOMIT (stiripentol) capsule, powder packet "
, 
,EPIDIOLEX (cannabidiol) solution 
, 
,Felbamate tablet  
, 
,FINTEPLA (fenfluramine) solution 
, 
,"FYCOMPA (perampanel) suspension, tablet "
, 
,GABITRIL (tiagabine) tablet 
, 
,Lacosamide UD solution
,"BANZEL (rufinamide) suspension, tablet "
, 
,"DIACOMIT (stiripentol) capsule, powder packet "
, 
,EPIDIOLEX (cannabidiol) solution 
, 
,Felbamate tablet  
, 
,FINTEPLA (fenfluramine) solution 
, 
,"FYCOMPA (perampanel) suspension, tablet "
, 
,GABITRIL (tiagabine) tablet 
, 
,Lacosamide UD solution
,"BANZEL (rufinamide) suspension, tablet "
, 
,"DIACOMIT (stiripentol) capsule, powder packet "
, 
,EPIDIOLEX (cannabidiol) solution 
, 
,Felbamate tablet  
, 
,FINTEPLA (fenfluramine) solution 
, 
,"FYCOMPA (perampanel) suspension, tablet "
, 
,GABITRIL (tiagabine) tablet 
, 
,Lacosamide UD solution
,"BANZEL (rufinamide) suspension, tablet "
, 
,"DIACOMIT (stiripentol) capsule, powder packet "
, 
,EPIDIOLEX (cannabidiol) solution 
, 
,Felbamate tablet  
, 
,FINTEPLA (fenfluramine) solution 
, 
,"FYCOMPA (perampanel) suspension, tablet "
, 
,GABITRIL (tiagabine) tablet 
, 
,Lacosamide UD solution
,"BANZEL (rufinamide) suspension, tablet "
, 
,"DIACOMIT (stiripentol) capsule, powder packet "
, 
,EPIDIOLEX (cannabidiol) solution 
, 
,Felbamate tablet  
, 
,FINTEPLA (fenfluramine) solution 
, 
,"FYCOMPA (perampanel) suspension, tablet "
, 
,GABITRIL (tiagabine) tablet 
, 
,Lacosamide UD solution
,"BANZEL (rufinamide) suspension, tablet "
, 
,"DIACOMIT (stiripentol) capsule, powder packet "
, 
,EPIDIOLEX (cannabidiol) solution 
, 
,Felbamate tablet  
, 
,FINTEPLA (fenfluramine) solution 
, 
,"FYCOMPA (perampanel) suspension, tablet "
, 
,GABITRIL (tiagabine) tablet 
, 
,Lacosamide UD solution
,MOTPOLY XR (lacosamide) capsule 
No PA Required , 
 ,Rufinamide suspension 
"Bupropion IR, SR, XL tablet ", 
 ,"SABRIL (vigabatrin) powder packet, tablet "
"Citalopram solution,  tablet ", 
 ,Tiagabine tablet 
Desvenlafaxine succinate ER , 
(generic Pristiq) tablet ,"Vigabatrin tablet, powder packet "
 , 
Duloxetine (generic Cymbalta) capsule ,VIGAFYDE (vigabatrin) solution 
 , 
Escitalopram tablet ,"VIMPAT (lacosamide) solution, kit, tablet "
 , 
"Fluoxetine capsule, solution, 60 mg tablet ","XCOPRI (cenobamate) tablet, pack "
 , 
Fluvoxamine tablet  ,ZONISADE (zonisamide) suspension 
 , 
"Mirtazapine tablet, ODT ",ZTALMY (ganaxolone) suspension
 ,PA Required 
Paroxetine IR tablet ,Non-preferred brand name medications do not require a prior authorization when the 
 ,equivalent generic is preferred and “dispense as written” is indicated on the prescription. 
"Sertraline solution, tablet",APLENZIN (bupropion ER) tablet 
,AUVELITY ER (dextromethorphan/bupropion) 
,tablet 
,Bupropion XL (generic Forfivo XL) tablet 
,CELEXA (citalopram) tablet 
,Citalopram hydrobromide capsule 
,CYMBALTA (duloxetine) capsule 
,Desvenlafaxine fumarate ER tablet 
,DRIZALMA (duloxetine) sprinkle capsule 
,EFFEXOR XR (venlafaxine ER) capsule 
,Escitalopram solution
Trazodone tablet ,
 ,Therapeutic Drug Class: MONOAMINE OXIDASE INHIBITORS (MAOIs) -Effective 4/1/2025
Venlafaxine IR tablet ,
 ,
Venlafaxine ER capsules ,
 ,
Vilazodone tablet,
,
,Tranylcypromine tablet
No PA Required  ,PA Required 
 ,Non-preferred brand name medications do not require a prior authorization when the 
 ,equivalent generic is preferred and “dispense as written” is indicated on the prescription. 
Amitriptyline tablet , 
 ,Amoxapine tablet 
Clomipramine capsule , 
 ,ANAFRANIL (clomipramine) capsule 
Desipramine tablet , 
 ,Imipramine pamoate capsule 
"Doxepin 10mg, 25mg, 50mg, 75mg, 100mg, 150mg ", 
"capsule, oral concentrate ",NORPRAMIN (desipramine) tablet 
 , 
Imipramine HCl tablet ,Nortriptyline solution 
 , 
Nortriptyline capsule,PAMELOR (nortriptyline) capsule 
No PA Required  , 
 ,Protriptyline tablet 
"Carbidopa/Levodopa IR, ER ", 
tablet ,Trimipramine capsule
 ,PA Required 
Carbidopa/Levodopa/Entacapone , 
tablet,Carbidopa tablet  
, 
,Carbidopa/Levodopa ODT 
, 
,CREXONT ER (carbidopa/levodopa) capsule 
, 
,DHIVY (carbidopa/levodopa) tablet 
, 
,DUOPA (carbidopa/levodopa) suspension 
, 
,INBRIJA (levodopa) capsule for inhalation 
, 
,LODOSYN (carbidopa) tablet 
, 
,RYTARY ER (carbidopa/levodopa) capsule
,SINEMET (carbidopa/levodopa) IR tablet 
No PA Required  , 
 ,STALEVO (carbidopa/levodopa/ entacapone) 
Rasagiline tablet ,tablet
 ,PA Required  
"Selegiline capsule, tablet", 
No PA Required  ,AZILECT (rasagiline) tablet 
 , 
Pramipexole IR tablet ,XADAGO (safinamide) tablet 
 , 
Ropinirole IR tablet,ZELAPAR (selegiline) ODT
,PA Required  
, 
,APOKYN (apomorphine) SC cartridge  
, 
,Apomorphine SC cartridge 
, 
,"Bromocriptine capsule, tablet "
, 
,KYNMOBI (apomorphine) SL film  
, 
,MIRAPEX (pramipexole) ER tablet 
, 
,NEUPRO (rotigotine) patch 
, 
,"PARLODEL (bromocriptine) capsule, tablet "
, 
,Pramipexole ER tablet 
, 
,Ropinirole ER tablet
No PA Required ,PA Required 
(*may be subject to age limitations) , 
 ,"Alprazolam ODT, oral concentrate "
"Alprazolam IR, ER tablet* ", 
 ,ATIVAN (lorazepam) tablet  
Chlordiazepoxide capsule*, 
,Diazepam Intensol
"Clonazepam tablet, ODT ",KLONOPIN (clonazepam) tablet 
 , 
Clorazepate tablet* ,LOREEV (lorazepam ER) capsule 
 , 
"Diazepam tablet*, solution ",XANAX (alprazolam) tablet 
 , 
"Lorazepam tablet*, oral concentrate ",XANAX XR (alprazolam ER) tablet
 ,KLONOPIN (clonazepam) tablet 
Oxazepam capsule*, 
"Clonazepam tablet, ODT ",LOREEV (lorazepam ER) capsule 
 , 
Clorazepate tablet* ,XANAX (alprazolam) tablet 
 , 
"Diazepam tablet*, solution ",XANAX XR (alprazolam ER) tablet
 ,KLONOPIN (clonazepam) tablet 
"Lorazepam tablet*, oral concentrate ", 
 ,LOREEV (lorazepam ER) capsule 
Oxazepam capsule*, 
"Clonazepam tablet, ODT ",XANAX (alprazolam) tablet 
 , 
Clorazepate tablet* ,XANAX XR (alprazolam ER) tablet
 ,KLONOPIN (clonazepam) tablet 
"Diazepam tablet*, solution ", 
 ,LOREEV (lorazepam ER) capsule 
"Lorazepam tablet*, oral concentrate ", 
 ,XANAX (alprazolam) tablet 
Oxazepam capsule*, 
"Clonazepam tablet, ODT ",XANAX XR (alprazolam ER) tablet
 ,KLONOPIN (clonazepam) tablet 
Clorazepate tablet* , 
 ,LOREEV (lorazepam ER) capsule 
"Diazepam tablet*, solution ", 
 ,XANAX (alprazolam) tablet 
"Lorazepam tablet*, oral concentrate ", 
 ,XANAX XR (alprazolam ER) tablet
Oxazepam capsule*,KLONOPIN (clonazepam) tablet 
"Clonazepam tablet, ODT ", 
 ,LOREEV (lorazepam ER) capsule 
Clorazepate tablet* , 
 ,XANAX (alprazolam) tablet 
"Diazepam tablet*, solution ", 
 ,XANAX XR (alprazolam ER) tablet
"Lorazepam tablet*, oral concentrate ",KLONOPIN (clonazepam) tablet 
 , 
Oxazepam capsule*,LOREEV (lorazepam ER) capsule 
"Clonazepam tablet, ODT ", 
 ,XANAX (alprazolam) tablet 
Clorazepate tablet* , 
 ,XANAX XR (alprazolam ER) tablet
"Diazepam tablet*, solution ",KLONOPIN (clonazepam) tablet 
 , 
"Lorazepam tablet*, oral concentrate ",LOREEV (lorazepam ER) capsule 
 , 
Oxazepam capsule*,XANAX (alprazolam) tablet 
"Clonazepam tablet, ODT ", 
 ,XANAX XR (alprazolam ER) tablet
Clorazepate tablet* ,KLONOPIN (clonazepam) tablet 
 , 
"Diazepam tablet*, solution ",LOREEV (lorazepam ER) capsule 
 , 
"Lorazepam tablet*, oral concentrate ",XANAX (alprazolam) tablet 
 , 
Oxazepam capsule*,XANAX XR (alprazolam ER) tablet
"Clonazepam tablet, ODT ",KLONOPIN (clonazepam) tablet 
 , 
Clorazepate tablet* ,LOREEV (lorazepam ER) capsule 
 , 
"Diazepam tablet*, solution ",XANAX (alprazolam) tablet 
 , 
"Lorazepam tablet*, oral concentrate ",XANAX XR (alprazolam ER) tablet
 ,KLONOPIN (clonazepam) tablet 
Oxazepam capsule*, 
"Clonazepam tablet, ODT ",LOREEV (lorazepam ER) capsule 
 , 
Clorazepate tablet* ,XANAX (alprazolam) tablet 
 , 
"Diazepam tablet*, solution ",XANAX XR (alprazolam ER) tablet
 ,KLONOPIN (clonazepam) tablet 
"Lorazepam tablet*, oral concentrate ", 
 ,LOREEV (lorazepam ER) capsule 
Oxazepam capsule*, 
"Clonazepam tablet, ODT ",XANAX (alprazolam) tablet 
 , 
Clorazepate tablet* ,XANAX XR (alprazolam ER) tablet
 ,KLONOPIN (clonazepam) tablet 
"Diazepam tablet*, solution ", 
 ,LOREEV (lorazepam ER) capsule 
"Lorazepam tablet*, oral concentrate ", 
 ,XANAX (alprazolam) tablet 
Oxazepam capsule*, 
"Clonazepam tablet, ODT ",XANAX XR (alprazolam ER) tablet
 ,
Clorazepate tablet* ,
 ,
"Diazepam tablet*, solution ",
 ,
"Lorazepam tablet*, oral concentrate ",
 ,
Oxazepam capsule*,
"Clonazepam tablet, ODT ",
 ,
Clorazepate tablet* ,
 ,
"Diazepam tablet*, solution ",
 ,
"Lorazepam tablet*, oral concentrate ",
 ,
Oxazepam capsule*,
"Clonazepam tablet, ODT ",
 ,
Clorazepate tablet* ,
 ,
"Diazepam tablet*, solution ",
 ,
"Lorazepam tablet*, oral concentrate ",
 ,
Oxazepam capsule*,
No PA Required ,
 ,PA Required 
Buspirone tablet, 
No PA Required ,Non-preferred brand name medications do not require a prior authorization when the equivalent generic is preferred and “dispense as written” is indicated on the prescription. 
(unless indicated by * in criteria; all products subject to dose and age limitations) , 
 ,"ABILIFY (aripiprazole) tablet, MyCite "
Aripiprazole tablet , 
 ,"Aripiprazole oral solution, ODT "
Asenapine SL tablet , 
 ,CAPLYTA (lumateperone) capsule 
Clozapine tablet , 
 ,"COBENFY (xanomeline/trospium) capsule, starter     pack "
Lurasidone tablet  , 
 ,Clozapine ODT 
"Olanzapine tablet, ODT ", 
 ,"CLOZARIL (clozapine) tablet, ODT "
Paliperidone ER tablet , 
 ,"FANAPT (iloperidone tablet, titration pack)"
Quetiapine IR tablet** ,
 ,
