ST,Drugs,Class
TX,Asenapine,Antipsychotics
UT,Asenapine,Antipsychotics
VT,Asenapine,Antipsychotics
VA,Asenapine,Antipsychotics
WA,Asenapine,Antipsychotics
WV,Asenapine,Antipsychotics
WI,Asenapine,Antipsychotics
WY,Asenapine,Antipsychotics
AL,Asmanex HFA,Glucocorticoids Inhaled
AK,Asmanex HFA,Glucocorticoids Inhaled
AZ,Asmanex HFA,Glucocorticoids Inhaled
AR,Asmanex HFA,Glucocorticoids Inhaled
CA,Asmanex HFA,Glucocorticoids Inhaled
CO,Asmanex HFA,Glucocorticoids Inhaled
CT,Asmanex HFA,Glucocorticoids Inhaled
DE,Asmanex HFA,Glucocorticoids Inhaled
DC,Asmanex HFA,Glucocorticoids Inhaled
FL,Asmanex HFA,Glucocorticoids Inhaled
GA,Asmanex HFA,Glucocorticoids Inhaled
HI,Asmanex HFA,Glucocorticoids Inhaled
ID,Asmanex HFA,Glucocorticoids Inhaled
IL,Asmanex HFA,Glucocorticoids Inhaled
IN,Asmanex HFA,Glucocorticoids Inhaled
IA,Asmanex HFA,Glucocorticoids Inhaled
KS,Asmanex HFA,Glucocorticoids Inhaled
KY,Asmanex HFA,Glucocorticoids Inhaled
LA,Asmanex HFA,Glucocorticoids Inhaled
ME,Asmanex HFA,Glucocorticoids Inhaled
MD,Asmanex HFA,Glucocorticoids Inhaled
MA,Asmanex HFA,Glucocorticoids Inhaled
MI,Asmanex HFA,Glucocorticoids Inhaled
MN,Asmanex HFA,Glucocorticoids Inhaled
MS,Asmanex HFA,Glucocorticoids Inhaled
MO,Asmanex HFA,Glucocorticoids Inhaled
MT,Asmanex HFA,Glucocorticoids Inhaled
NE,Asmanex HFA,Glucocorticoids Inhaled
NV,Asmanex HFA,Glucocorticoids Inhaled
NH,Asmanex HFA,Glucocorticoids Inhaled
NJ,Asmanex HFA,Glucocorticoids Inhaled
NM,Asmanex HFA,Glucocorticoids Inhaled
NY,Asmanex HFA,Glucocorticoids Inhaled
NC,Asmanex HFA,Glucocorticoids Inhaled
ND,Asmanex HFA,Glucocorticoids Inhaled
OH,Asmanex HFA,Glucocorticoids Inhaled
OK,Asmanex HFA,Glucocorticoids Inhaled
OR,Asmanex HFA,Glucocorticoids Inhaled
PA,Asmanex HFA,Glucocorticoids Inhaled
PR,Asmanex HFA,Glucocorticoids Inhaled
RI,Asmanex HFA,Glucocorticoids Inhaled
SC,Asmanex HFA,Glucocorticoids Inhaled
SD,Asmanex HFA,Glucocorticoids Inhaled
TN,Asmanex HFA,Glucocorticoids Inhaled
TX,Asmanex HFA,Glucocorticoids Inhaled
UT,Asmanex HFA,Glucocorticoids Inhaled
VT,Asmanex HFA,Glucocorticoids Inhaled
VA,Asmanex HFA,Glucocorticoids Inhaled
WA,Asmanex HFA,Glucocorticoids Inhaled
WV,Asmanex HFA,Glucocorticoids Inhaled
WI,Asmanex HFA,Glucocorticoids Inhaled
WY,Asmanex HFA,Glucocorticoids Inhaled
AL,Asmanex Twisthaler,Glucocorticoids Inhaled
AK,Asmanex Twisthaler,Glucocorticoids Inhaled
AZ,Asmanex Twisthaler,Glucocorticoids Inhaled
AR,Asmanex Twisthaler,Glucocorticoids Inhaled
CA,Asmanex Twisthaler,Glucocorticoids Inhaled
CO,Asmanex Twisthaler,Glucocorticoids Inhaled
CT,Asmanex Twisthaler,Glucocorticoids Inhaled
DE,Asmanex Twisthaler,Glucocorticoids Inhaled
DC,Asmanex Twisthaler,Glucocorticoids Inhaled
FL,Asmanex Twisthaler,Glucocorticoids Inhaled
GA,Asmanex Twisthaler,Glucocorticoids Inhaled
HI,Asmanex Twisthaler,Glucocorticoids Inhaled
ID,Asmanex Twisthaler,Glucocorticoids Inhaled
IL,Asmanex Twisthaler,Glucocorticoids Inhaled
IN,Asmanex Twisthaler,Glucocorticoids Inhaled
IA,Asmanex Twisthaler,Glucocorticoids Inhaled
KS,Asmanex Twisthaler,Glucocorticoids Inhaled
KY,Asmanex Twisthaler,Glucocorticoids Inhaled
LA,Asmanex Twisthaler,Glucocorticoids Inhaled
ME,Asmanex Twisthaler,Glucocorticoids Inhaled
MD,Asmanex Twisthaler,Glucocorticoids Inhaled
MA,Asmanex Twisthaler,Glucocorticoids Inhaled
MI,Asmanex Twisthaler,Glucocorticoids Inhaled
MN,Asmanex Twisthaler,Glucocorticoids Inhaled
MS,Asmanex Twisthaler,Glucocorticoids Inhaled
MO,Asmanex Twisthaler,Glucocorticoids Inhaled
MT,Asmanex Twisthaler,Glucocorticoids Inhaled
NE,Asmanex Twisthaler,Glucocorticoids Inhaled
NV,Asmanex Twisthaler,Glucocorticoids Inhaled
NH,Asmanex Twisthaler,Glucocorticoids Inhaled
NJ,Asmanex Twisthaler,Glucocorticoids Inhaled
NM,Asmanex Twisthaler,Glucocorticoids Inhaled
NY,Asmanex Twisthaler,Glucocorticoids Inhaled
NC,Asmanex Twisthaler,Glucocorticoids Inhaled
ND,Asmanex Twisthaler,Glucocorticoids Inhaled
OH,Asmanex Twisthaler,Glucocorticoids Inhaled
OK,Asmanex Twisthaler,Glucocorticoids Inhaled
OR,Asmanex Twisthaler,Glucocorticoids Inhaled
PA,Asmanex Twisthaler,Glucocorticoids Inhaled
PR,Asmanex Twisthaler,Glucocorticoids Inhaled
RI,Asmanex Twisthaler,Glucocorticoids Inhaled
SC,Asmanex Twisthaler,Glucocorticoids Inhaled
SD,Asmanex Twisthaler,Glucocorticoids Inhaled
TN,Asmanex Twisthaler,Glucocorticoids Inhaled
TX,Asmanex Twisthaler,Glucocorticoids Inhaled
UT,Asmanex Twisthaler,Glucocorticoids Inhaled
VT,Asmanex Twisthaler,Glucocorticoids Inhaled
VA,Asmanex Twisthaler,Glucocorticoids Inhaled
WA,Asmanex Twisthaler,Glucocorticoids Inhaled
WV,Asmanex Twisthaler,Glucocorticoids Inhaled
WI,Asmanex Twisthaler,Glucocorticoids Inhaled
WY,Asmanex Twisthaler,Glucocorticoids Inhaled
AL,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
AK,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
AZ,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
AR,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
CA,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
CO,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
CT,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
DE,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
DC,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
FL,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
GA,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
HI,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
ID,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
IL,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
IN,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
IA,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
KS,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
KY,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
LA,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
ME,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
MD,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
MA,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
MI,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
MN,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
MS,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
MO,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
MT,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
NE,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
NV,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
NH,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
NJ,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
NM,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
NY,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
NC,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
ND,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
OH,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
OK,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
OR,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
PA,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
RI,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
SC,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
SD,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
TN,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
TX,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
UT,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
VT,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
VA,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
WA,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
WV,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
WI,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
WY,Aspirin / Dipyridamole,Platelet Aggregation Inhibitors
AL,Astagraf XL ER capsule,Immunosuppressives Oral
AK,Astagraf XL ER capsule,Immunosuppressives Oral
AZ,Astagraf XL ER capsule,Immunosuppressives Oral
AR,Astagraf XL ER capsule,Immunosuppressives Oral
CA,Astagraf XL ER capsule,Immunosuppressives Oral
CO,Astagraf XL ER capsule,Immunosuppressives Oral
CT,Astagraf XL ER capsule,Immunosuppressives Oral
DE,Astagraf XL ER capsule,Immunosuppressives Oral
DC,Astagraf XL ER capsule,Immunosuppressives Oral
FL,Astagraf XL ER capsule,Immunosuppressives Oral
GA,Astagraf XL ER capsule,Immunosuppressives Oral
HI,Astagraf XL,Immunosuppressives Oral
ID,Astagraf XL ER capsule,Immunosuppressives Oral
IL,Astagraf XL ER capsule,Immunosuppressives Oral
IN,Astagraf XL ER capsule,Immunosuppressives Oral
IA,Astagraf XL ER capsule,Immunosuppressives Oral
KS,Astagraf XL ER capsule,Immunosuppressives Oral
KY,Astagraf XL ER capsule,Immunosuppressives Oral
LA,Astagraf XL ER capsule,Immunosuppressives Oral
ME,Astagraf XL ER capsule,Immunosuppressives Oral
MD,Astagraf XL ER capsule,Immunosuppressives Oral
MA,Astagraf XL ER capsule,Immunosuppressives Oral
MI,Astagraf XL ER capsule,Immunosuppressives Oral
MN,Astagraf XL ER capsule,Immunosuppressives Oral
MS,Astagraf XL ER capsule,Immunosuppressives Oral
MO,Astagraf XL ER capsule,Immunosuppressives Oral
MT,Astagraf XL ER capsule,Immunosuppressives Oral
NE,Astagraf XL ER capsule,Immunosuppressives Oral
NV,Astagraf XL ER capsule,Immunosuppressives Oral
NH,Astagraf XL ER capsule,Immunosuppressives Oral
NJ,Astagraf XL,Immunosuppressives Oral
NM,Astagraf XL,Immunosuppressives Oral
NY,Astagraf XL ER capsule,Immunosuppressives Oral
NC,Astagraf XL ER capsule,Immunosuppressives Oral
ND,Astagraf XL ER capsule,Immunosuppressives Oral
OH,Astagraf XL ER capsule,Immunosuppressives Oral
OK,Astagraf XL ER capsule,Immunosuppressives Oral
OR,Astagraf XL ER capsule,Immunosuppressives Oral
PA,Astagraf XL ER capsule,Immunosuppressives Oral
PR,Astagraf XL ER capsule,Immunosuppressives Oral
RI,Astagraf XL ER capsule,Immunosuppressives Oral
SC,Astagraf XL ER capsule,Immunosuppressives Oral
SD,Astagraf XL ER capsule,Immunosuppressives Oral
TN,Astagraf XL ER capsule,Immunosuppressives Oral
TX,Astagraf XL ER capsule,Immunosuppressives Oral
UT,Astagraf XL ER capsule,Immunosuppressives Oral
VT,Astagraf XL ER capsule,Immunosuppressives Oral
VA,Astagraf XL ER capsule,Immunosuppressives Oral
WA,Astagraf XL ER capsule,Immunosuppressives Oral
WV,Astagraf XL ER capsule,Immunosuppressives Oral
WI,Astagraf XL ER capsule,Immunosuppressives Oral
WY,Astagraf XL ER capsule,Immunosuppressives Oral
AL,Atripla,HIV AIDS
AK,Atripla,HIV AIDS
AZ,Atripla,HIV AIDS
AR,Atripla,HIV AIDS
CA,Atripla,HIV AIDS
CO,Atripla,HIV AIDS
CT,Atripla,HIV AIDS
DE,Atripla,HIV AIDS
DC,Atripla,HIV AIDS
FL,Atripla,HIV AIDS
GA,Atripla,HIV AIDS
HI,Atripla,HIV AIDS
ID,Atripla,HIV AIDS
IL,Atripla,HIV AIDS
IN,Atripla,HIV AIDS
IA,Atripla,HIV AIDS
KS,Atripla,HIV AIDS
KY,Atripla,HIV AIDS
LA,Atripla,HIV AIDS
ME,Atripla,HIV AIDS
MD,Atripla,HIV AIDS
MA,Atripla,HIV AIDS
MI,Atripla,HIV AIDS
MN,Atripla,HIV AIDS
MS,Atripla,HIV AIDS
MO,Atripla,HIV AIDS
MT,Atripla,HIV AIDS
NE,Atripla,HIV AIDS
NV,Atripla,HIV AIDS
NH,Atripla,HIV AIDS
NJ,Atripla,HIV AIDS
NM,Atripla,HIV AIDS
NY,Atripla,HIV AIDS
NC,Atripla,HIV AIDS
ND,Atripla,HIV AIDS
OH,Atripla,HIV AIDS
OK,Atripla,HIV AIDS
OR,Atripla,HIV AIDS
PA,Atripla,HIV AIDS
PR,Atripla,HIV AIDS
RI,Atripla,HIV AIDS
SC,Atripla,HIV AIDS
SD,Atripla,HIV AIDS
TN,Atripla,HIV AIDS
TX,Atripla,HIV AIDS
UT,Atripla,HIV AIDS
VT,Atripla,HIV AIDS
VA,Atripla,HIV AIDS
WA,Atripla,HIV AIDS
WV,Atripla,HIV AIDS
WI,Atripla,HIV AIDS
WY,Atripla,HIV AIDS
AL,Attruby tablet therapy pack,Amyloidosis Treatments
AK,Attruby tablet therapy pack,Amyloidosis Treatments
AZ,Attruby tablet therapy pack,Amyloidosis Treatments
AR,Attruby tablet therapy pack,Amyloidosis Treatments
CA,Attruby tablet therapy pack,Amyloidosis Treatments
CO,Attruby tablet therapy pack,Amyloidosis Treatments
CT,Attruby tablet therapy pack,Amyloidosis Treatments
DE,Attruby tablet therapy pack,Amyloidosis Treatments
DC,Attruby tablet therapy pack,Amyloidosis Treatments
FL,Attruby tablet therapy pack,Amyloidosis Treatments
GA,Attruby tablet therapy pack,Amyloidosis Treatments
HI,Attruby,Amyloidosis Treatments
ID,Attruby tablet therapy pack,Amyloidosis Treatments
IL,Attruby tablet therapy pack,Amyloidosis Treatments
IN,Attruby tablet therapy pack,Amyloidosis Treatments
IA,Attruby tablet therapy pack,Amyloidosis Treatments
KS,Attruby tablet therapy pack,Amyloidosis Treatments
KY,Attruby tablet therapy pack,Amyloidosis Treatments
LA,Attruby tablet therapy pack,Amyloidosis Treatments
ME,Attruby tablet therapy pack,Amyloidosis Treatments
MD,Attruby tablet therapy pack,Amyloidosis Treatments
MA,Attruby tablet therapy pack,Amyloidosis Treatments
MI,Attruby tablet therapy pack,Amyloidosis Treatments
MN,Attruby tablet therapy pack,Amyloidosis Treatments
MS,Attruby tablet therapy pack,Amyloidosis Treatments
MO,Attruby tablet therapy pack,Amyloidosis Treatments
MT,Attruby tablet therapy pack,Amyloidosis Treatments
NE,Attruby tablet therapy pack,Amyloidosis Treatments
NV,Attruby tablet therapy pack,Amyloidosis Treatments
NH,Attruby tablet therapy pack,Amyloidosis Treatments
NJ,Attruby,Amyloidosis Treatments
NM,Attruby,Amyloidosis Treatments
NY,Attruby tablet therapy pack,Amyloidosis Treatments
NC,Attruby tablet therapy pack,Amyloidosis Treatments
ND,Attruby tablet therapy pack,Amyloidosis Treatments
OH,Attruby tablet therapy pack,Amyloidosis Treatments
OK,Attruby tablet therapy pack,Amyloidosis Treatments
OR,Attruby tablet therapy pack,Amyloidosis Treatments
PA,Attruby tablet therapy pack,Amyloidosis Treatments
PR,Attruby tablet therapy pack,Amyloidosis Treatments
RI,Attruby tablet therapy pack,Amyloidosis Treatments
SC,Attruby tablet therapy pack,Amyloidosis Treatments
SD,Attruby tablet therapy pack,Amyloidosis Treatments
TN,Attruby tablet therapy pack,Amyloidosis Treatments
TX,Attruby tablet therapy pack,Amyloidosis Treatments
UT,Attruby tablet therapy pack,Amyloidosis Treatments
VT,Attruby tablet therapy pack,Amyloidosis Treatments
VA,Attruby tablet therapy pack,Amyloidosis Treatments
WA,Attruby tablet therapy pack,Amyloidosis Treatments
WV,Attruby tablet therapy pack,Amyloidosis Treatments
WI,Attruby tablet therapy pack,Amyloidosis Treatments
WY,Attruby tablet therapy pack,Amyloidosis Treatments
AL,Aubagio tablet,Multiple Sclerosis Agents
AK,Aubagio tablet,Multiple Sclerosis Agents
AZ,Aubagio tablet,Multiple Sclerosis Agents
AR,Aubagio tablet,Multiple Sclerosis Agents
CA,Aubagio tablet,Multiple Sclerosis Agents
CO,Aubagio tablet,Multiple Sclerosis Agents
CT,Aubagio tablet,Multiple Sclerosis Agents
DE,Aubagio tablet,Multiple Sclerosis Agents
DC,Aubagio tablet,Multiple Sclerosis Agents
FL,Aubagio tablet,Multiple Sclerosis Agents
GA,Aubagio tablet,Multiple Sclerosis Agents
HI,Aubagio,Multiple Sclerosis Agents
ID,Aubagio tablet,Multiple Sclerosis Agents
IL,Aubagio tablet,Multiple Sclerosis Agents
IN,Aubagio tablet,Multiple Sclerosis Agents
IA,Aubagio tablet,Multiple Sclerosis Agents
KS,Aubagio tablet,Multiple Sclerosis Agents
KY,Aubagio tablet,Multiple Sclerosis Agents
LA,Aubagio tablet,Multiple Sclerosis Agents
ME,Aubagio tablet,Multiple Sclerosis Agents
MD,Aubagio tablet,Multiple Sclerosis Agents
MA,Aubagio tablet,Multiple Sclerosis Agents
MI,Aubagio tablet,Multiple Sclerosis Agents
MN,Aubagio tablet,Multiple Sclerosis Agents
MS,Aubagio tablet,Multiple Sclerosis Agents
MO,Aubagio tablet,Multiple Sclerosis Agents
MT,Aubagio tablet,Multiple Sclerosis Agents
NE,Aubagio tablet,Multiple Sclerosis Agents
NV,Aubagio tablet,Multiple Sclerosis Agents
NH,Aubagio tablet,Multiple Sclerosis Agents
NJ,Aubagio,Multiple Sclerosis Agents
NM,Aubagio,Multiple Sclerosis Agents
NY,Aubagio tablet,Multiple Sclerosis Agents
NC,Aubagio tablet,Multiple Sclerosis Agents
ND,Aubagio tablet,Multiple Sclerosis Agents
OH,Aubagio tablet,Multiple Sclerosis Agents
OK,Aubagio tablet,Multiple Sclerosis Agents
OR,Aubagio tablet,Multiple Sclerosis Agents
PA,Aubagio tablet,Multiple Sclerosis Agents
PR,Aubagio tablet,Multiple Sclerosis Agents
RI,Aubagio tablet,Multiple Sclerosis Agents
SC,Aubagio tablet,Multiple Sclerosis Agents
SD,Aubagio tablet,Multiple Sclerosis Agents
TN,Aubagio tablet,Multiple Sclerosis Agents
TX,Aubagio tablet,Multiple Sclerosis Agents
UT,Aubagio tablet,Multiple Sclerosis Agents
VT,Aubagio tablet,Multiple Sclerosis Agents
VA,Aubagio tablet,Multiple Sclerosis Agents
WA,Aubagio tablet,Multiple Sclerosis Agents
WV,Aubagio tablet,Multiple Sclerosis Agents
WI,Aubagio tablet,Multiple Sclerosis Agents
WY,Aubagio tablet,Multiple Sclerosis Agents
AL,Augtyro capsule,Oncology Oral Other
AK,Augtyro capsule,Oncology Oral Other
AZ,Augtyro capsule,Oncology Oral Other
AR,Augtyro capsule,Oncology Oral Other
CA,Augtyro capsule,Oncology Oral Other
CO,Augtyro capsule,Oncology Oral Other
CT,Augtyro capsule,Oncology Oral Other
DE,Augtyro capsule,Oncology Oral Other
DC,Augtyro capsule,Oncology Oral Other
FL,Augtyro capsule,Oncology Oral Other
GA,Augtyro capsule,Oncology Oral Other
HI,Augtyro,Oncology Oral Other
ID,Augtyro capsule,Oncology Oral Other
IL,Augtyro capsule,Oncology Oral Other
IN,Augtyro capsule,Oncology Oral Other
IA,Augtyro capsule,Oncology Oral Other
KS,Augtyro capsule,Oncology Oral Other
KY,Augtyro capsule,Oncology Oral Other
LA,Augtyro capsule,Oncology Oral Other
ME,Augtyro capsule,Oncology Oral Other
MD,Augtyro capsule,Oncology Oral Other
MA,Augtyro capsule,Oncology Oral Other
MI,Augtyro capsule,Oncology Oral Other
MN,Augtyro capsule,Oncology Oral Other
MS,Augtyro capsule,Oncology Oral Other
MO,Augtyro capsule,Oncology Oral Other
MT,Augtyro capsule,Oncology Oral Other
NE,Augtyro capsule,Oncology Oral Other
NV,Augtyro capsule,Oncology Oral Other
NH,Augtyro capsule,Oncology Oral Other
NJ,Augtyro,Oncology Oral Other
NM,Augtyro,Oncology Oral Other
NY,Augtyro capsule,Oncology Oral Other
NC,Augtyro capsule,Oncology Oral Other
ND,Augtyro capsule,Oncology Oral Other
OH,Augtyro capsule,Oncology Oral Other
OK,Augtyro capsule,Oncology Oral Other
OR,Augtyro capsule,Oncology Oral Other
PA,Augtyro capsule,Oncology Oral Other
PR,Augtyro capsule,Oncology Oral Other
RI,Augtyro capsule,Oncology Oral Other
SC,Augtyro capsule,Oncology Oral Other
SD,Augtyro capsule,Oncology Oral Other
TN,Augtyro capsule,Oncology Oral Other
TX,Augtyro capsule,Oncology Oral Other
UT,Augtyro capsule,Oncology Oral Other
VT,Augtyro capsule,Oncology Oral Other
VA,Augtyro capsule,Oncology Oral Other
WA,Augtyro capsule,Oncology Oral Other
WV,Augtyro capsule,Oncology Oral Other
WI,Augtyro capsule,Oncology Oral Other
WY,Augtyro capsule,Oncology Oral Other
AL,Auryxia,Phosphate Binders
AK,Auryxia,Phosphate Binders
AZ,Auryxia,Phosphate Binders
AR,Auryxia,Phosphate Binders
CA,Auryxia,Phosphate Binders
CO,Auryxia,Phosphate Binders
CT,Auryxia,Phosphate Binders
DE,Auryxia,Phosphate Binders
DC,Auryxia,Phosphate Binders
FL,Auryxia,Phosphate Binders
GA,Auryxia,Phosphate Binders
HI,Auryxia,Phosphate Binders
ID,Auryxia,Phosphate Binders
IL,Auryxia,Phosphate Binders
IN,Auryxia,Phosphate Binders
IA,Auryxia,Phosphate Binders
KS,Auryxia,Phosphate Binders
KY,Auryxia,Phosphate Binders
LA,Auryxia,Phosphate Binders
ME,Auryxia,Phosphate Binders
MD,Auryxia,Phosphate Binders
MA,Auryxia,Phosphate Binders
MI,Auryxia,Phosphate Binders
MN,Auryxia,Phosphate Binders
MS,Auryxia,Phosphate Binders
MO,Auryxia,Phosphate Binders
MT,Auryxia,Phosphate Binders
NE,Auryxia,Phosphate Binders
NV,Auryxia,Phosphate Binders
NH,Auryxia,Phosphate Binders
NJ,Auryxia,Phosphate Binders
NM,Auryxia,Phosphate Binders
NY,Auryxia,Phosphate Binders
NC,Auryxia,Phosphate Binders
ND,Auryxia,Phosphate Binders
OH,Auryxia,Phosphate Binders
OK,Auryxia,Phosphate Binders
OR,Auryxia,Phosphate Binders
PA,Auryxia,Phosphate Binders
PR,Auryxia,Phosphate Binders
RI,Auryxia,Phosphate Binders
SC,Auryxia,Phosphate Binders
SD,Auryxia,Phosphate Binders
TN,Auryxia,Phosphate Binders
TX,Auryxia,Phosphate Binders
UT,Auryxia,Phosphate Binders
VT,Auryxia,Phosphate Binders
VA,Auryxia,Phosphate Binders
WA,Auryxia,Phosphate Binders
WV,Auryxia,Phosphate Binders
WI,Auryxia,Phosphate Binders
WY,Auryxia,Phosphate Binders
AL,Austedo,Movement Disorders
AK,Austedo,Movement Disorders
AZ,Austedo,Movement Disorders
AR,Austedo,Movement Disorders
CA,Austedo,Movement Disorders
CO,Austedo,Movement Disorders
CT,Austedo,Movement Disorders
DE,Austedo,Movement Disorders
DC,Austedo,Movement Disorders
FL,Austedo,Movement Disorders
GA,Austedo,Movement Disorders
HI,Austedo,Movement Disorders
ID,Austedo,Movement Disorders
IL,Austedo,Movement Disorders
IN,Austedo,Movement Disorders
IA,Austedo,Movement Disorders
KS,Austedo,Movement Disorders
KY,Austedo,Movement Disorders
LA,Austedo,Movement Disorders
ME,Austedo,Movement Disorders
MD,Austedo,Movement Disorders
MA,Austedo Huntington’s Disease,Movement Disorders
MA,Austedo Tardive Dyskinesia,Movement Disorders
MA,Austedo Tourette’s Syndrome/Tics,Movement Disorders
MA,Austedo Unspecified Hyperkinetic Movement Disorder,Movement Disorders
MI,Austedo,Movement Disorders
MN,Austedo,Movement Disorders
MS,Austedo,Movement Disorders
MO,Austedo,Movement Disorders
MT,Austedo,Movement Disorders
NE,Austedo Tardive Dyskinesia,Movement Disorders
NE,Austedo Huntington’s Disease,Movement Disorders
NV,Austedo,Movement Disorders
NH,Austedo,Movement Disorders
NJ,Austedo,Movement Disorders
NM,Austedo,Movement Disorders
NY,Austedo,Movement Disorders
NC,Austedo,Movement Disorders
ND,Austedo Huntington’s Disease,Movement Disorders
ND,Austedo Tardive Dyskinesia,Movement Disorders
OH,Austedo,Movement Disorders
OK,Austedo,Movement Disorders
OR,Austedo,Movement Disorders
PA,Austedo,Movement Disorders
PR,Austedo,Movement Disorders
RI,Austedo,Movement Disorders
SC,Austedo,Movement Disorders
SD,Austedo,Movement Disorders
TN,Austedo Tardive Dyskinesia,Movement Disorders
TN,Austedo Huntington’s Disease,Movement Disorders
TX,Austedo,Movement Disorders
UT,Austedo,Movement Disorders
VT,Austedo,Movement Disorders
VA,Austedo,Movement Disorders
WA,Austedo,Movement Disorders
WV,Austedo,Movement Disorders
WI,Austedo,Movement Disorders
WY,Austedo,Movement Disorders
AL,Austedo XR,Movement Disorders
AL,Austedo XR titration pack,Movement Disorders
AK,Austedo XR,Movement Disorders
AK,Austedo XR titration pack,Movement Disorders
AZ,Austedo XR,Movement Disorders
AZ,Austedo XR titration pack,Movement Disorders
AR,Austedo XR,Movement Disorders
AR,Austedo XR titration pack,Movement Disorders
CA,Austedo XR,Movement Disorders
CA,Austedo XR titration pack,Movement Disorders
CO,Austedo XR,Movement Disorders
CO,Austedo XR titration pack,Movement Disorders
CT,Austedo XR,Movement Disorders
CT,Austedo XR titration pack,Movement Disorders
DE,Austedo XR,Movement Disorders
DE,Austedo XR titration pack,Movement Disorders
DC,Austedo XR,Movement Disorders
DC,Austedo XR titration pack,Movement Disorders
FL,Austedo XR,Movement Disorders
FL,Austedo XR titration pack,Movement Disorders
GA,Austedo XR,Movement Disorders
GA,Austedo XR titration pack,Movement Disorders
HI,Austedo XR,Movement Disorders
ID,Austedo XR,Movement Disorders
ID,Austedo XR titration pack,Movement Disorders
IL,Austedo XR,Movement Disorders
IL,Austedo XR titration pack,Movement Disorders
IN,Austedo XR,Movement Disorders
IN,Austedo XR titration pack,Movement Disorders
IA,Austedo XR,Movement Disorders
IA,Austedo XR titration pack,Movement Disorders
KS,Austedo XR,Movement Disorders
KS,Austedo XR titration pack,Movement Disorders
KY,Austedo XR,Movement Disorders
KY,Austedo XR titration pack,Movement Disorders
LA,Austedo XR,Movement Disorders
LA,Austedo XR titration pack,Movement Disorders
ME,Austedo XR,Movement Disorders
ME,Austedo XR titration pack,Movement Disorders
MD,Austedo XR,Movement Disorders
MD,Austedo XR titration pack,Movement Disorders
MA,Austedo XR,Movement Disorders
MA,Austedo XR titration pack,Movement Disorders
MI,Austedo XR,Movement Disorders
MI,Austedo XR titration pack,Movement Disorders
MN,Austedo XR,Movement Disorders
MN,Austedo XR titration pack,Movement Disorders
MS,Austedo XR,Movement Disorders
MS,Austedo XR titration pack,Movement Disorders
MO,Austedo XR titration pack,Movement Disorders
MT,Austedo XR,Movement Disorders
MT,Austedo XR titration pack,Movement Disorders
NE,Austedo XR Huntington's Disease,Movement Disorders
NE,Austedo XR Tardive Dyskinesia,Movement Disorders
